player_id,name,captain_count,captain_pct
765,Imaz,9,34.6%
2205,Pululu,5,19.2%
480,Nowak,5,19.2%
2671,Czubak,3,11.5%
1475,Ishak,1,3.8%
2234,Gholizadeh,1,3.8%
2423,N&#039;Diaye,1,3.8%
2476,Braut Brunes,1,3.8%
