player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
1319,Wszołek,2,834,824,92,83.4%,82.4%,9.2%
1225,Grzesik,2,756,732,51,75.6%,73.2%,5.1%
1092,Samiec-Talar,3,612,606,135,61.2%,60.6%,13.5%
2431,Vinagre,2,573,562,74,57.3%,56.2%,7.4%
1987,Sánchez,4,562,556,199,56.2%,55.6%,19.9%
1529,Fornalczyk,3,493,449,4,49.3%,44.9%,0.4%
2805,Hindrich,1,405,391,1,40.5%,39.1%,0.1%
2671,Czubak,4,360,350,46,36.0%,35.0%,4.6%
2880,Bozic,3,359,358,65,35.9%,35.8%,6.5%
1540,Wojtuszek,2,315,241,1,31.5%,24.1%,0.1%
774,Bergier,,308,255,4,30.8%,25.5%,0.4%
480,Nowak,,305,59,16,30.5%,5.9%,1.6%
1464,Szmyt,3,302,271,3,30.2%,27.1%,0.3%
2679,Mukairu,3,267,265,51,26.7%,26.5%,5.1%
1507,Zjawiński,4,267,263,42,26.7%,26.3%,4.2%
2423,N&#039;Diaye,3,265,255,5,26.5%,25.5%,0.5%
2878,Duarte,3,263,256,15,26.3%,25.6%,1.5%
2498,Wålemark,3,243,234,7,24.3%,23.4%,0.7%
2829,Urbański,,232,2,0,23.2%,0.2%,0.0%
1026,Lis,,221,196,1,22.1%,19.6%,0.1%
2801,Drągowski,,220,156,0,22.0%,15.6%,0.0%
992,Wiśniewski,,210,126,1,21.0%,12.6%,0.1%
1299,Carlos,,201,16,0,20.1%,1.6%,0.0%
2881,Rodado,4,173,171,80,17.3%,17.1%,8.0%
765,Imaz,3,172,168,7,17.2%,16.8%,0.7%
2481,Hasić,3,154,142,3,15.4%,14.2%,0.3%
2477,Reguła,,146,28,0,14.6%,2.8%,0.0%
1168,Makuch,,140,19,0,14.0%,1.9%,0.0%
1673,Banaszak,4,139,129,6,13.9%,12.9%,0.6%
1126,Piątkowski,2,137,125,0,13.7%,12.5%,0.0%
1795,Abramowicz,1,135,117,1,13.5%,11.7%,0.1%
95,Świderski,,135,112,0,13.5%,11.2%,0.0%
2123,Gurgul,2,125,115,1,12.5%,11.5%,0.1%
2007,Matys,,120,0,0,12.0%,0.0%,0.0%
1909,Adamski,4,116,96,4,11.6%,9.6%,0.4%
2939,Prelec,,108,100,3,10.8%,10.0%,0.3%
2367,Mońka,2,102,96,1,10.2%,9.6%,0.1%
2869,Krzyżanowski,,95,65,0,9.5%,6.5%,0.0%
2225,Álvarez,,84,61,0,8.4%,6.1%,0.0%
2918,Yegbe,2,83,78,1,8.3%,7.8%,0.1%
2659,Łubik,1,80,62,0,8.0%,6.2%,0.0%
1521,Kapustka,,80,76,3,8.0%,7.6%,0.3%
2800,Cheng,,79,21,0,7.9%,2.1%,0.0%
2896,Kustra,,78,1,0,7.8%,0.1%,0.0%
184,Wolski,3,77,68,2,7.7%,6.8%,0.2%
2832,Grelich,,77,0,0,7.7%,0.0%,0.0%
2830,Zalewski,,77,5,0,7.7%,0.5%,0.0%
2708,Rajović,4,73,65,0,7.3%,6.5%,0.0%
2767,Agnero,4,71,68,10,7.1%,6.8%,1.0%
1327,Urbański,3,69,56,1,6.9%,5.6%,0.1%
2002,Borges,2,68,54,0,6.8%,5.4%,0.0%
951,Jędrych,,65,9,0,6.5%,0.9%,0.0%
2406,Chłań,3,65,55,1,6.5%,5.5%,0.1%
2717,Rodríguez,,63,61,5,6.3%,6.1%,0.5%
2517,Basse,,62,0,0,6.2%,0.0%,0.0%
2843,Żołneczko,,61,0,0,6.1%,0.0%,0.0%
2733,Palma,3,59,58,21,5.9%,5.8%,2.1%
1285,Luquinhas,3,58,54,0,5.8%,5.4%,0.0%
1632,Kozubal,3,58,52,2,5.8%,5.2%,0.2%
1475,Ishak,4,58,56,12,5.8%,5.6%,1.2%
2892,Marjanac,3,57,54,5,5.7%,5.4%,0.5%
923,Augustyniak,2,56,53,0,5.6%,5.3%,0.0%
1926,Alves,3,56,41,1,5.6%,4.1%,0.1%
1490,Trelowski,,55,2,0,5.5%,0.2%,0.0%
2430,Nsame,4,52,40,0,5.2%,4.0%,0.0%
2895,Schulze,,51,13,0,5.1%,1.3%,0.0%
1192,Janža,2,51,34,0,5.1%,3.4%,0.0%
2899,Zagrodzki,,50,0,0,5.0%,0.0%,0.0%
2850,Markiewicz,,50,1,0,5.0%,0.1%,0.0%
