player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,availability_status,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
1987,Jordi Sánchez,Pogoń Szczecin,Napastnik,60,2.1,28.57,41%,https://fantasy.ekstraklasa.org/player/1987,"[{'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 8, 'p': True}, {'r': 7, 'pts': 4, 'p': True}, {'r': 8, 'pts': 7, 'p': True}, {'r': 9, 'pts': 7, 'p': True}]",,,,,,,
923,Rafał Augustyniak,Legia Warszawa,Obrońca,54,2.0,27.0,11%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 0, 'p': True}, {'r': 7, 'pts': 8, 'p': True}, {'r': 8, 'pts': 8, 'p': True}, {'r': 9, 'pts': 9, 'p': True}]",,,,,,,
1880,Ilja Szkurin,GKS Katowice,Napastnik,51,2.3,22.17,24%,https://fantasy.ekstraklasa.org/player/1880,"[{'r': 5, 'pts': 9, 'p': True}, {'r': 6, 'pts': 16, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 9, 'pts': 7, 'p': True}]",,,,,,,
1319,Paweł Wszołek,Legia Warszawa,Obrońca,49,2.2,22.27,38%,https://fantasy.ekstraklasa.org/player/1319,"[{'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 0, 'p': False}, {'r': 8, 'pts': 2, 'p': True}, {'r': 9, 'pts': 5, 'p': True}]",,,,,,,
480,Bartosz Nowak,GKS Katowice,Pomocnik,48,3.4,14.12,39%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 5, 'pts': 14, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 9, 'pts': 8, 'p': True}]",,,,,,,
1327,Kacper Urbański,Górnik Zabrze,Pomocnik,48,2.0,24.0,41%,https://fantasy.ekstraklasa.org/player/1327,"[{'r': 6, 'pts': 7, 'p': True}, {'r': 7, 'pts': 9, 'p': True}, {'r': 8, 'pts': 4, 'p': True}, {'r': 8, 'pts': 6, 'p': True}, {'r': 9, 'pts': 3, 'p': True}]",,,,,,,
166,Rafał Janicki,Górnik Zabrze,Obrońca,47,2.1,22.38,23%,https://fantasy.ekstraklasa.org/player/166,"[{'r': 6, 'pts': 4, 'p': True}, {'r': 7, 'pts': 6, 'p': True}, {'r': 8, 'pts': 6, 'p': True}, {'r': 8, 'pts': 3, 'p': True}, {'r': 9, 'pts': 4, 'p': True}]",,,,,,,
2431,Rúben Vinagre,Legia Warszawa,Obrońca,47,2.0,23.5,38%,https://fantasy.ekstraklasa.org/player/2431,"[{'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 6, 'p': True}, {'r': 8, 'pts': 5, 'p': True}, {'r': 9, 'pts': 3, 'p': True}]",,,,,,,
303,Mariusz Stępiński,Korona Kielce,Napastnik,46,2.3,20.0,17%,https://fantasy.ekstraklasa.org/player/303,"[{'r': 6, 'pts': 7, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 8, 'pts': 7, 'p': True}, {'r': 9, 'pts': 11, 'p': True}]",,,,,,,
1168,Patryk Makuch,Raków Częstochowa,Napastnik,43,2.0,21.5,16%,https://fantasy.ekstraklasa.org/player/1168,"[{'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 6, 'p': True}, {'r': 8, 'pts': 12, 'p': True}, {'r': 9, 'pts': 2, 'p': True}]",,,,,,,
2719,Leandro Sanca,Piast Gliwice,Pomocnik,43,2.0,21.5,8%,https://fantasy.ekstraklasa.org/player/2719,"[{'r': 5, 'pts': 8, 'p': True}, {'r': 6, 'pts': 4, 'p': True}, {'r': 7, 'pts': 9, 'p': True}, {'r': 8, 'pts': 7, 'p': True}, {'r': 9, 'pts': 1, 'p': True}]",,,,,,,
2880,Marko Bozic,Wisła Kraków,Pomocnik,43,1.9,22.63,23%,https://fantasy.ekstraklasa.org/player/2880,"[{'r': 5, 'pts': 5, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 10, 'p': True}, {'r': 9, 'pts': 3, 'p': True}]",,,,,,,
2747,Hugo Vallejo,Piast Gliwice,Pomocnik,42,1.9,22.11,3%,https://fantasy.ekstraklasa.org/player/2747,"[{'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 4, 'p': True}, {'r': 7, 'pts': 10, 'p': True}, {'r': 8, 'pts': 10, 'p': True}, {'r': 9, 'pts': 2, 'p': True}]",,,,,,,
2940,Mario García,Widzew Łódź,Obrońca,42,2.0,21.0,20%,https://fantasy.ekstraklasa.org/player/2940,"[{'r': 5, 'pts': 11, 'p': True}, {'r': 6, 'pts': 0, 'p': True}, {'r': 7, 'pts': 5, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 9, 'pts': 7, 'p': True}]",,,,,,,
374,Alan Uryga,Wisła Kraków,Obrońca,41,1.7,24.12,8%,https://fantasy.ekstraklasa.org/player/374,"[{'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 8, 'p': True}, {'r': 8, 'pts': 6, 'p': True}, {'r': 9, 'pts': 9, 'p': True}]",,,,,,,
2481,Ajdin Hasić,Cracovia,Pomocnik,41,2.3,17.83,15%,https://fantasy.ekstraklasa.org/player/2481,"[{'r': 5, 'pts': 14, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 9, 'pts': 5, 'p': True}]",,,,,,,
860,Wiktor Długosz,Korona Kielce,Pomocnik,40,1.8,22.22,6%,https://fantasy.ekstraklasa.org/player/860,"[{'r': 6, 'pts': 11, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 8, 'pts': 4, 'p': True}, {'r': 9, 'pts': 8, 'p': True}]",,,,,,,
2671,Karol Czubak,Motor Lublin,Napastnik,40,3.1,12.9,30%,https://fantasy.ekstraklasa.org/player/2671,"[{'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 11, 'p': True}, {'r': 8, 'pts': 2, 'p': True}, {'r': 9, 'pts': 2, 'p': True}]",,,,,,,
2943,Peter González,Górnik Zabrze,Pomocnik,40,1.9,21.05,7%,https://fantasy.ekstraklasa.org/player/2943,"[{'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 14, 'p': True}, {'r': 8, 'pts': 3, 'p': True}, {'r': 9, 'pts': 3, 'p': True}]",,,,,,,
