team_name,manager,player_name,player_team,player_position,is_captain
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
Unknown,Unknown,Carlos,,,False
Unknown,Unknown,Chłań,,,False
Unknown,Unknown,Elitim,,,False
Unknown,Unknown,Bulat,,,False
Unknown,Unknown,Janža,,,False
Unknown,Unknown,Nsame,,,False
Unknown,Unknown,Piątkowski,,,False
Unknown,Unknown,Liseth,,,False
Unknown,Unknown,Putiwcew,,,False
Unknown,Unknown,Abramowicz,,,False
Unknown,Unknown,Sadílek,,,False
