player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url
80,Karol Mackiewicz,Jagiellonia Białystok,Pomocnik,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/80
81,Przemysław Mystkowski,Jagiellonia Białystok,Pomocnik,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/81
82,Patryk Niemczynowicz,Jagiellonia Białystok,Pomocnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/82
83,Mateusz Ostaszewski,Jagiellonia Białystok,Pomocnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/83
84,Dawid Polkowski,Jagiellonia Białystok,Pomocnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/84
85,Dominik Prusaczyk,Jagiellonia Białystok,Pomocnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/85
88,Dawid Szymonowicz,Puszcza Niepołomice,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/88
89,Jakub Tabor,Jagiellonia Białystok,Pomocnik,0,0.8,0.0,0%,https://fantasy.ekstraklasa.org/player/89
90,Konstantin Vassiljev,Piast Gliwice,Pomocnik,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/90
91,Emil Gajko,Jagiellonia Białystok,Napastnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/91
92,Bartosz Giełażyn,Jagiellonia Białystok,Napastnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/92
93,Maciej Górski,Korona Kielce,Napastnik,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/93
94,Kacper Piechniak,Jagiellonia Białystok,Napastnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/94
95,Karol Świderski,Jagiellonia Białystok,Napastnik,0,2.1,0.0,0%,https://fantasy.ekstraklasa.org/player/95
96,Maciej Gostomski,Górnik Łęczna,Bramkarz,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/96
97,Zbigniew Małkowski,Zagłębie Lubin,Bramkarz,0,1.2,0.0,0%,https://fantasy.ekstraklasa.org/player/97
98,Artur Marzec,Korona Kielce,Bramkarz,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/98
99,Leonid Otczenaszenko,Korona Kielce,Bramkarz,0,1.3,0.0,0%,https://fantasy.ekstraklasa.org/player/99
100,Michal Peškovič,Podbeskidzie Bielsko-Biała,Bramkarz,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/100
