player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,3,990,985,656,99.0%,98.5%,65.6%
2234,Gholizadeh,3,805,768,23,80.5%,76.8%,2.3%
2423,N&#039;Diaye,3,755,741,24,75.5%,74.1%,2.4%
951,Jędrych,2,719,708,29,71.9%,70.8%,2.9%
2671,Czubak,4,693,681,44,69.3%,68.1%,4.4%
2205,Pululu,,635,566,15,63.5%,56.6%,1.5%
860,Długosz,2,594,441,0,59.4%,44.1%,0.0%
2560,Ciszek,,482,0,0,48.2%,0.0%,0.0%
303,Stępiński,4,463,393,11,46.3%,39.3%,1.1%
2476,Braut Brunes,4,395,393,47,39.5%,39.3%,4.7%
765,Imaz,3,368,361,28,36.8%,36.1%,2.8%
1475,Ishak,4,355,354,48,35.5%,35.4%,4.8%
827,Grzybek,2,334,179,0,33.4%,17.9%,0.0%
2598,Matysek,,302,1,0,30.2%,0.1%,0.0%
1010,Félix Garcia,3,289,273,25,28.9%,27.3%,2.5%
1192,Janža,2,276,266,4,27.6%,26.6%,0.4%
1757,Mrozek,,264,206,1,26.4%,20.6%,0.1%
2562,Mazurek,,237,91,0,23.7%,9.1%,0.0%
2123,Gurgul,2,236,118,0,23.6%,11.8%,0.0%
1299,Carlos,2,232,225,5,23.2%,22.5%,0.5%
130,Burić,,217,170,0,21.7%,17.0%,0.0%
563,Wasielewski,2,215,206,0,21.5%,20.6%,0.0%
1540,Wojtuszek,2,212,120,0,21.2%,12.0%,0.0%
994,Klemenz,2,206,198,1,20.6%,19.8%,0.1%
2747,Vallejo,3,176,164,3,17.6%,16.4%,0.3%
1363,Wdowik,2,164,115,0,16.4%,11.5%,0.0%
2287,Zych,1,159,152,0,15.9%,15.2%,0.0%
2780,Ćirković,3,148,140,8,14.8%,14.0%,0.8%
701,Kun,,147,74,0,14.7%,7.4%,0.0%
2608,Vereshchak,,135,2,0,13.5%,0.2%,0.0%
2698,Bengtsson,3,111,103,6,11.1%,10.3%,0.6%
1435,Strączek,,108,101,0,10.8%,10.1%,0.0%
2552,Sotiríou,,102,70,0,10.2%,7.0%,0.0%
1539,López,3,100,91,1,10.0%,9.1%,0.1%
1795,Abramowicz,,95,67,0,9.5%,6.7%,0.0%
2424,Wolski,3,95,83,0,9.5%,8.3%,0.0%
2367,Mońka,,94,48,0,9.4%,4.8%,0.0%
2053,Madejski,1,92,75,0,9.2%,7.5%,0.0%
2450,Brkić,1,90,84,0,9.0%,8.4%,0.0%
2623,Topór,,85,0,0,8.5%,0.0%,0.0%
633,Wdowiak,3,65,54,2,6.5%,5.4%,0.2%
774,Bergier,4,64,35,0,6.4%,3.5%,0.0%
2643,Zając,,60,0,0,6.0%,0.0%,0.0%
1573,Milić,,57,35,0,5.7%,3.5%,0.0%
2603,Kubiak,3,54,11,0,5.4%,1.1%,0.0%
1097,Krzepisz,,53,0,0,5.3%,0.0%,0.0%
1280,Michalski,2,52,36,0,5.2%,3.6%,0.0%
2779,Jurić,,51,23,1,5.1%,2.3%,0.1%
2530,Lewandowski,,51,0,0,5.1%,0.0%,0.0%
2110,Mena,3,50,32,3,5.0%,3.2%,0.3%
2717,Rodríguez,,49,38,0,4.9%,3.8%,0.0%
1001,Szymański,1,48,27,0,4.8%,2.7%,0.0%
2805,Hindrich,1,48,39,0,4.8%,3.9%,0.0%
2775,Ronaldo,3,46,32,0,4.6%,3.2%,0.0%
2829,Urbański,,45,0,0,4.5%,0.0%,0.0%
2281,Kerk,3,44,34,0,4.4%,3.4%,0.0%
1928,Svarnas,2,43,36,0,4.3%,3.6%,0.0%
2481,Hasić,,42,29,0,4.2%,2.9%,0.0%
2827,Ligocki,,42,0,0,4.2%,0.0%,0.0%
2790,Kaczorowski,,41,0,0,4.1%,0.0%,0.0%
2727,Ława,,41,1,0,4.1%,0.1%,0.0%
2561,Mikielewicz,,41,0,0,4.1%,0.0%,0.0%
2696,Głowiński,,40,0,0,4.0%,0.0%,0.0%
2817,Kornvig,,36,23,1,3.6%,2.3%,0.1%
1853,Racovițan,2,35,29,0,3.5%,2.9%,0.0%
2366,Golonka,,35,0,0,3.5%,0.0%,0.0%
2444,Krajewski,,35,8,0,3.5%,0.8%,0.0%
2406,Chłań,3,34,31,3,3.4%,3.1%,0.3%
415,Marcjanik,2,34,26,0,3.4%,2.6%,0.0%
1880,Szkurin,4,33,32,3,3.3%,3.2%,0.3%
2736,Popielec,,33,0,0,3.3%,0.0%,0.0%
2600,Szafrański,,33,0,0,3.3%,0.0%,0.0%
2764,Sinkiewicz,,32,0,0,3.2%,0.0%,0.0%
