player_id,name,captain_count,captain_pct
1987,Sánchez,313,31.3%
2881,Rodado,138,13.8%
1092,Samiec-Talar,104,10.4%
1507,Zjawiński,69,6.9%
1319,Wszołek,66,6.6%
2880,Bozic,57,5.7%
2431,Vinagre,55,5.5%
2679,Mukairu,46,4.6%
2671,Czubak,34,3.4%
1225,Grzesik,29,2.9%
2878,Duarte,14,1.4%
2733,Palma,6,0.6%
2490,Čurlinov,5,0.5%
2767,Agnero,5,0.5%
2498,Wålemark,5,0.5%
1673,Banaszak,4,0.4%
2892,Marjanac,4,0.4%
184,Wolski,4,0.4%
480,Nowak,4,0.4%
765,Imaz,4,0.4%
2423,N&#039;Diaye,4,0.4%
1909,Adamski,2,0.2%
1327,Urbański,2,0.2%
2805,Hindrich,2,0.2%
2481,Hasić,2,0.2%
1126,Piątkowski,2,0.2%
303,Stępiński,1,0.1%
2699,Rodrigues,1,0.1%
2010,Hamulic,1,0.1%
2939,Prelec,1,0.1%
1926,Alves,1,0.1%
1521,Kapustka,1,0.1%
2943,González,1,0.1%
1475,Ishak,1,0.1%
1529,Fornalczyk,1,0.1%
2073,Wahlqvist,1,0.1%
1794,Grosicki,1,0.1%
1285,Luquinhas,1,0.1%
374,Uryga,1,0.1%
1464,Szmyt,1,0.1%
2912,Prekop,1,0.1%
86,Romanczuk,1,0.1%
2286,Cojocaru,1,0.1%
1411,Leszczyński,1,0.1%
2717,Rodríguez,1,0.1%
2406,Chłań,1,0.1%
