player_id,name,captain_count,captain_pct
480,Nowak,238,23.8%
765,Imaz,151,15.1%
2411,Bobček,148,14.8%
2205,Pululu,73,7.3%
2234,Gholizadeh,70,7.0%
2671,Czubak,67,6.7%
2110,Mena,59,5.9%
1475,Ishak,25,2.5%
2481,Hasić,24,2.4%
303,Stępiński,23,2.3%
1794,Grosicki,22,2.2%
860,Długosz,11,1.1%
2423,N&#039;Diaye,11,1.1%
2476,Braut Brunes,9,0.9%
2775,Ronaldo,8,0.8%
2483,Capita,8,0.8%
774,Bergier,7,0.7%
2717,Rodríguez,5,0.5%
2826,Szabó,4,0.4%
1625,Rusyn,3,0.3%
1225,Grzesik,3,0.3%
1521,Kapustka,2,0.2%
2629,Faßbender,2,0.2%
1782,Maurides,2,0.2%
1909,Adamski,2,0.2%
1010,Félix Garcia,2,0.2%
2389,Diaby-Fadiga,1,0.1%
563,Wasielewski,1,0.1%
2825,Sans,1,0.1%
2280,Ulvestad,1,0.1%
2817,Kornvig,1,0.1%
2462,Al-Ammari,1,0.1%
2588,Perković,1,0.1%
2507,Diaz,1,0.1%
2719,Sanca,1,0.1%
2577,Ćorluka,1,0.1%
1086,Zapolnik,1,0.1%
2679,Mukairu,1,0.1%
2477,Reguła,1,0.1%
2281,Kerk,1,0.1%
1835,Biczachczjan,1,0.1%
2800,Cheng,1,0.1%
2753,Šutalo,1,0.1%
1363,Wdowik,1,0.1%
128,Sekulski,1,0.1%
1477,Sezonienko,1,0.1%
1757,Mrozek,1,0.1%
