player_id,name,captain_count,captain_pct
2476,Braut Brunes,7,26.9%
480,Nowak,5,19.2%
2205,Pululu,4,15.4%
774,Bergier,3,11.5%
2411,Bobček,2,7.7%
2733,Palma,1,3.8%
1475,Ishak,1,3.8%
2424,Wolski,1,3.8%
765,Imaz,1,3.8%
2671,Czubak,1,3.8%
