player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form
480,Bartosz Nowak,GKS Katowice,Pomocnik,59,2.7,21.85,70%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 21, 'pts': 6, 'p': True}, {'r': 22, 'pts': 6, 'p': True}, {'r': 23, 'pts': 9, 'p': True}, {'r': 24, 'pts': 6, 'p': True}, {'r': 25, 'pts': 8, 'p': True}]"
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,48,1.9,25.26,34%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 7, 'p': True}, {'r': 23, 'pts': 9, 'p': True}, {'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 5, 'p': True}]"
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,46,2.0,23.0,27%,https://fantasy.ekstraklasa.org/player/951,"[{'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 1, 'p': True}, {'r': 23, 'pts': 10, 'p': True}, {'r': 24, 'pts': 12, 'p': True}, {'r': 25, 'pts': 0, 'p': False}]"
827,Mateusz Grzybek,Zagłębie Lubin,Obrońca,43,1.8,23.89,28%,https://fantasy.ekstraklasa.org/player/827,"[{'r': 21, 'pts': 5, 'p': True}, {'r': 22, 'pts': 12, 'p': True}, {'r': 23, 'pts': 19, 'p': True}, {'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 2, 'p': True}]"
1010,Jorge Félix Garcia,Piast Gliwice,Pomocnik,43,1.8,23.89,9%,https://fantasy.ekstraklasa.org/player/1010,"[{'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 2, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 3, 'p': True}]"
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,43,2.4,17.92,51%,https://fantasy.ekstraklasa.org/player/2234,"[{'r': 21, 'pts': 13, 'p': True}, {'r': 22, 'pts': 9, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 0, 'p': True}, {'r': 25, 'pts': 4, 'p': True}]"
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,40,2.5,16.0,60%,https://fantasy.ekstraklasa.org/player/2205,"[{'r': 21, 'pts': 1, 'p': True}, {'r': 22, 'pts': 5, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 1, 'p': True}]"
2747,Hugo Vallejo,Piast Gliwice,Pomocnik,40,1.8,22.22,9%,https://fantasy.ekstraklasa.org/player/2747,"[{'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 5, 'p': True}, {'r': 23, 'pts': 3, 'p': True}, {'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 14, 'p': True}]"
2780,Aleksandar Ćirković,Lechia Gdańsk,Pomocnik,39,1.9,20.53,5%,https://fantasy.ekstraklasa.org/player/2780,"[{'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 2, 'p': True}, {'r': 23, 'pts': 5, 'p': True}, {'r': 24, 'pts': 15, 'p': True}, {'r': 25, 'pts': 2, 'p': True}]"
130,Jasmin Burić,Zagłębie Lubin,Bramkarz,38,1.8,21.11,15%,https://fantasy.ekstraklasa.org/player/130,"[{'r': 21, 'pts': 8, 'p': True}, {'r': 22, 'pts': 9, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 3, 'p': True}]"
