player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,3,972,968,334,97.2%,96.8%,33.4%
2234,Gholizadeh,3,832,812,49,83.2%,81.2%,4.9%
2205,Pululu,4,675,669,136,67.5%,66.9%,13.6%
951,Jędrych,2,642,591,2,64.2%,59.1%,0.2%
2423,N&#039;Diaye,3,610,534,4,61.0%,53.4%,0.4%
2671,Czubak,4,559,524,22,55.9%,52.4%,2.2%
2476,Braut Brunes,4,514,487,35,51.4%,48.7%,3.5%
2560,Ciszek,,418,0,0,41.8%,0.0%,0.0%
2780,Ćirković,3,379,317,4,37.9%,31.7%,0.4%
130,Burić,1,377,351,6,37.7%,35.1%,0.6%
765,Imaz,3,347,345,155,34.7%,34.5%,15.5%
860,Długosz,2,323,193,0,32.3%,19.3%,0.0%
2123,Gurgul,2,321,261,0,32.1%,26.1%,0.0%
701,Kun,,287,98,0,28.7%,9.8%,0.0%
2477,Reguła,3,280,280,76,28.0%,28.0%,7.6%
1192,Janža,,280,157,0,28.0%,15.7%,0.0%
2598,Matysek,,270,0,0,27.0%,0.0%,0.0%
1540,Wojtuszek,,249,223,1,24.9%,22.3%,0.1%
1299,Carlos,2,241,203,0,24.1%,20.3%,0.0%
827,Grzybek,2,230,185,10,23.0%,18.5%,1.0%
563,Wasielewski,2,221,177,0,22.1%,17.7%,0.0%
1280,Michalski,2,217,207,7,21.7%,20.7%,0.7%
2708,Rajović,,204,87,4,20.4%,8.7%,0.4%
1475,Ishak,4,201,200,26,20.1%,20.0%,2.6%
2759,Markovic,3,196,192,20,19.6%,19.2%,2.0%
1319,Wszołek,2,187,102,0,18.7%,10.2%,0.0%
2411,Bobček,4,178,174,29,17.8%,17.4%,2.9%
1757,Mrozek,1,176,139,0,17.6%,13.9%,0.0%
1010,Félix Garcia,,152,136,12,15.2%,13.6%,1.2%
1795,Abramowicz,1,147,120,0,14.7%,12.0%,0.0%
303,Stępiński,,145,110,7,14.5%,11.0%,0.7%
2805,Hindrich,1,139,91,0,13.9%,9.1%,0.0%
774,Bergier,4,135,129,15,13.5%,12.9%,1.5%
2562,Mazurek,3,134,78,0,13.4%,7.8%,0.0%
2287,Zych,,128,92,0,12.8%,9.2%,0.0%
2603,Kubiak,3,115,42,0,11.5%,4.2%,0.0%
2367,Mońka,2,100,65,0,10.0%,6.5%,0.0%
2225,Álvarez,3,99,92,6,9.9%,9.2%,0.6%
2608,Vereshchak,,98,1,0,9.8%,0.1%,0.0%
2577,Ćorluka,2,88,83,6,8.8%,8.3%,0.6%
2781,Rogelj,2,81,81,1,8.1%,8.1%,0.1%
