player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
480,Bartosz Nowak,GKS Katowice,Pomocnik,77,2.7,28.52,71%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 8, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 8, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,66,2.5,26.4,54%,https://fantasy.ekstraklasa.org/player/2234,"[{'r': 26, 'pts': 9, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 5, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,60,2.1,28.57,38%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 26, 'pts': 10, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 7, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,59,2.5,23.6,53%,https://fantasy.ekstraklasa.org/player/2205,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 10, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
765,Jesús Imaz,Jagiellonia Białystok,Pomocnik,58,4.2,13.81,24%,https://fantasy.ekstraklasa.org/player/765,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 15, 'p': True}, {'r': 30, 'pts': 3, 'p': True}]",,,,,,
2780,Aleksandar Ćirković,Lechia Gdańsk,Pomocnik,53,2.0,26.5,21%,https://fantasy.ekstraklasa.org/player/2780,"[{'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 9, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
994,Lukas Klemenz,GKS Katowice,Obrońca,52,2.0,26.0,12%,https://fantasy.ekstraklasa.org/player/994,"[{'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 13, 'p': True}, {'r': 28, 'pts': 0, 'p': False}, {'r': 29, 'pts': 1, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2679,Paul Mukairu,Pogoń Szczecin,Pomocnik,52,2.1,24.76,5%,https://fantasy.ekstraklasa.org/player/2679,"[{'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 9, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,51,2.0,25.5,40%,https://fantasy.ekstraklasa.org/player/951,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': -3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
1010,Jorge Félix Garcia,Piast Gliwice,Pomocnik,50,1.9,26.32,12%,https://fantasy.ekstraklasa.org/player/1010,"[{'r': 26, 'pts': 12, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2281,Sebastian Kerk,Arka Gdynia,Pomocnik,50,2.1,23.81,6%,https://fantasy.ekstraklasa.org/player/2281,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 9, 'p': True}, {'r': 28, 'pts': 5, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2698,Leo Bengtsson,Lech Poznań,Pomocnik,50,2.2,22.73,7%,https://fantasy.ekstraklasa.org/player/2698,"[{'r': 26, 'pts': 14, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2424,Bartosz Wolski,Motor Lublin,Pomocnik,49,1.9,25.79,6%,https://fantasy.ekstraklasa.org/player/2424,"[{'r': 26, 'pts': 4, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2671,Karol Czubak,Motor Lublin,Napastnik,49,2.9,16.9,41%,https://fantasy.ekstraklasa.org/player/2671,"[{'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
130,Jasmin Burić,Zagłębie Lubin,Bramkarz,47,1.8,26.11,22%,https://fantasy.ekstraklasa.org/player/130,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 5, 'p': True}, {'r': 29, 'pts': 1, 'p': True}, {'r': 30, 'pts': 3, 'p': True}]",,,,,,
827,Mateusz Grzybek,Zagłębie Lubin,Obrońca,47,1.8,26.11,23%,https://fantasy.ekstraklasa.org/player/827,"[{'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 1, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2280,Fredrik Ulvestad,Pogoń Szczecin,Pomocnik,47,2.1,22.38,4%,https://fantasy.ekstraklasa.org/player/2280,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 9, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
1795,Sławomir Abramowicz,Jagiellonia Białystok,Bramkarz,46,1.9,24.21,17%,https://fantasy.ekstraklasa.org/player/1795,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 8, 'p': True}, {'r': 30, 'pts': 5, 'p': True}]",,,,,,
2476,Jonatan Braut Brunes,Raków Częstochowa,Napastnik,46,2.6,17.69,32%,https://fantasy.ekstraklasa.org/player/2476,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 8, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
563,Marcin Wasielewski,GKS Katowice,Obrońca,45,1.9,23.68,16%,https://fantasy.ekstraklasa.org/player/563,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 0, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
1280,Damian Michalski,Zagłębie Lubin,Obrońca,45,1.9,23.68,12%,https://fantasy.ekstraklasa.org/player/1280,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2450,Ivan Brkić,Motor Lublin,Bramkarz,45,1.9,23.68,3%,https://fantasy.ekstraklasa.org/player/2450,"[{'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2481,Ajdin Hasić,Cracovia,Pomocnik,45,2.1,21.43,6%,https://fantasy.ekstraklasa.org/player/2481,"[{'r': 26, 'pts': 9, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 5, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2659,Marcel Łubik,Górnik Zabrze,Bramkarz,45,1.9,23.68,5%,https://fantasy.ekstraklasa.org/player/2659,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 6, 'p': True}]",,,,,,
