player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,availability_status,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
1092,Piotr Samiec-Talar,Śląsk Wrocław,Pomocnik,48,2.2,21.82,35%,https://fantasy.ekstraklasa.org/player/1092,"[{'r': 3, 'pts': 3, 'p': True}, {'r': 4, 'pts': 7, 'p': True}, {'r': 5, 'pts': 9, 'p': True}, {'r': 6, 'pts': 8, 'p': True}, {'r': 7, 'pts': 7, 'p': True}]",,,,,,,
1987,Jordi Sánchez,Wisła Kraków,Napastnik,46,2.0,23.0,45%,https://fantasy.ekstraklasa.org/player/1987,"[{'r': 3, 'pts': 8, 'p': True}, {'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 8, 'p': True}, {'r': 7, 'pts': 4, 'p': True}]",,,,,,,
1319,Paweł Wszołek,Legia Warszawa,Obrońca,42,2.2,19.09,40%,https://fantasy.ekstraklasa.org/player/1319,"[{'r': 3, 'pts': 2, 'p': True}, {'r': 4, 'pts': 15, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 0, 'p': False}]",,,,,,,
1880,Ilja Szkurin,GKS Katowice,Napastnik,42,2.3,18.26,20%,https://fantasy.ekstraklasa.org/player/1880,"[{'r': 2, 'pts': 11, 'p': True}, {'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 9, 'p': True}, {'r': 6, 'pts': 16, 'p': True}, {'r': 7, 'pts': 2, 'p': True}]",,,,,,,
2431,Rúben Vinagre,Legia Warszawa,Obrońca,39,2.0,19.5,37%,https://fantasy.ekstraklasa.org/player/2431,"[{'r': 3, 'pts': 2, 'p': True}, {'r': 4, 'pts': 11, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 6, 'p': True}]",,,,,,,
480,Bartosz Nowak,GKS Katowice,Pomocnik,38,3.4,11.18,36%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 2, 'pts': 9, 'p': True}, {'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 14, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 2, 'p': True}]",,,,,,,
923,Rafał Augustyniak,Legia Warszawa,Obrońca,37,1.9,19.47,7%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 3, 'pts': 2, 'p': True}, {'r': 4, 'pts': 12, 'p': True}, {'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 0, 'p': True}, {'r': 7, 'pts': 8, 'p': True}]",,,,,,,
1327,Kacper Urbański,Górnik Zabrze,Pomocnik,35,1.9,18.42,26%,https://fantasy.ekstraklasa.org/player/1327,"[{'r': 3, 'pts': 9, 'p': True}, {'r': 4, 'pts': 3, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 6, 'pts': 7, 'p': True}, {'r': 7, 'pts': 9, 'p': True}]",,,,,,,
2671,Karol Czubak,Motor Lublin,Napastnik,35,3.0,11.67,29%,https://fantasy.ekstraklasa.org/player/2671,"[{'r': 3, 'pts': 2, 'p': True}, {'r': 4, 'pts': 7, 'p': True}, {'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 10, 'p': True}]",,,,,,,
2481,Ajdin Hasić,Cracovia,Pomocnik,34,2.3,14.78,16%,https://fantasy.ekstraklasa.org/player/2481,"[{'r': 3, 'pts': 3, 'p': True}, {'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 14, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 2, 'p': True}]",,,,,,,
