player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
1319,Wszołek,2,893,853,53,89.3%,85.3%,5.3%
2431,Vinagre,2,737,698,17,73.7%,69.8%,1.7%
1987,Sánchez,4,691,650,48,69.1%,65.0%,4.8%
480,Nowak,3,536,482,25,53.6%,48.2%,2.5%
1225,Grzesik,,481,299,2,48.1%,29.9%,0.2%
1092,Samiec-Talar,,477,282,5,47.7%,28.2%,0.5%
2481,Hasić,3,475,418,18,47.5%,41.8%,1.8%
2671,Czubak,4,440,429,51,44.0%,42.9%,5.1%
1507,Zjawiński,4,379,364,28,37.9%,36.4%,2.8%
1168,Makuch,4,368,324,65,36.8%,32.4%,6.5%
2917,Sayyadmanesh,3,357,351,179,35.7%,35.1%,17.9%
2498,Wålemark,3,355,348,216,35.5%,34.8%,21.6%
2805,Hindrich,,348,316,1,34.8%,31.6%,0.1%
2423,N&#039;Diaye,,334,318,6,33.4%,31.8%,0.6%
1327,Urbański,3,311,274,39,31.1%,27.4%,3.9%
2940,García,,280,104,0,28.0%,10.4%,0.0%
1026,Lis,1,247,169,1,24.7%,16.9%,0.1%
2629,Faßbender,3,235,154,1,23.5%,15.4%,0.1%
2880,Bozic,3,226,198,4,22.6%,19.8%,0.4%
2801,Drągowski,1,211,131,0,21.1%,13.1%,0.0%
951,Jędrych,,190,102,0,19.0%,10.2%,0.0%
2939,Prelec,4,189,183,12,18.9%,18.3%,1.2%
2943,González,3,184,171,24,18.4%,17.1%,2.4%
2123,Gurgul,2,179,167,16,17.9%,16.7%,1.6%
2829,Urbański,,171,0,0,17.1%,0.0%,0.0%
1540,Wojtuszek,2,158,121,1,15.8%,12.1%,0.1%
1464,Szmyt,3,156,146,13,15.6%,14.6%,1.3%
1299,Carlos,2,149,99,2,14.9%,9.9%,0.2%
2767,Agnero,4,133,114,13,13.3%,11.4%,1.3%
2881,Rodado,4,130,118,2,13.0%,11.8%,0.2%
166,Janicki,2,128,112,1,12.8%,11.2%,0.1%
2225,Álvarez,3,121,77,1,12.1%,7.7%,0.1%
303,Stępiński,4,121,77,6,12.1%,7.7%,0.6%
2895,Schulze,1,118,100,0,11.8%,10.0%,0.0%
1490,Trelowski,,116,91,0,11.6%,9.1%,0.0%
1880,Szkurin,,114,70,1,11.4%,7.0%,0.1%
2163,Pięczek,2,113,34,0,11.3%,3.4%,0.0%
1126,Piątkowski,2,110,103,0,11.0%,10.3%,0.0%
765,Imaz,3,106,102,42,10.6%,10.2%,4.2%
1521,Kapustka,3,105,102,4,10.5%,10.2%,0.4%
2679,Mukairu,,104,61,0,10.4%,6.1%,0.0%
2053,Madejski,,103,67,0,10.3%,6.7%,0.0%
2007,Matys,,94,0,0,9.4%,0.0%,0.0%
1725,Emreli,4,91,88,24,9.1%,8.8%,2.4%
2406,Chłań,3,89,86,15,8.9%,8.6%,1.5%
2896,Kustra,,77,0,0,7.7%,0.0%,0.0%
2367,Mońka,2,74,63,4,7.4%,6.3%,0.4%
774,Bergier,,73,34,0,7.3%,3.4%,0.0%
923,Augustyniak,2,72,58,0,7.2%,5.8%,0.0%
2832,Grelich,,70,0,0,7.0%,0.0%,0.0%
2659,Łubik,1,69,49,0,6.9%,4.9%,0.0%
2843,Żołneczko,,67,2,0,6.7%,0.2%,0.0%
2577,Ćorluka,,67,23,0,6.7%,2.3%,0.0%
2901,Christensen,,67,49,1,6.7%,4.9%,0.1%
1529,Fornalczyk,3,64,32,0,6.4%,3.2%,0.0%
992,Wiśniewski,,64,7,0,6.4%,0.7%,0.0%
2588,Perković,2,63,37,0,6.3%,3.7%,0.0%
2477,Reguła,3,63,49,0,6.3%,4.9%,0.0%
1712,Pereira,2,62,52,1,6.2%,5.2%,0.1%
2104,Sáček,2,60,53,1,6.0%,5.3%,0.1%
2002,Borges,,58,29,0,5.8%,2.9%,0.0%
1909,Adamski,,57,50,1,5.7%,5.0%,0.1%
184,Wolski,3,54,49,3,5.4%,4.9%,0.3%
2491,Wojciechowski,,53,6,0,5.3%,0.6%,0.0%
2733,Palma,3,51,49,26,5.1%,4.9%,2.6%
2389,Diaby-Fadiga,3,51,50,9,5.1%,5.0%,0.9%
2662,Kobayashi,2,50,39,0,5.0%,3.9%,0.0%
2366,Golonka,,45,0,0,4.5%,0.0%,0.0%
2717,Rodríguez,3,44,42,1,4.4%,4.2%,0.1%
2950,Wadas,,42,0,0,4.2%,0.0%,0.0%
2869,Krzyżanowski,2,42,16,0,4.2%,1.6%,0.0%
2561,Mikielewicz,,42,0,0,4.2%,0.0%,0.0%
1192,Janža,,41,32,1,4.1%,3.2%,0.1%
860,Długosz,3,40,30,0,4.0%,3.0%,0.0%
827,Grzybek,2,40,17,0,4.0%,1.7%,0.0%
2250,Rychta,,39,0,0,3.9%,0.0%,0.0%
2741,Peškovič,,38,1,0,3.8%,0.1%,0.0%
2517,Basse,,37,1,0,3.7%,0.1%,0.0%
1931,Kapuadi,,35,13,0,3.5%,1.3%,0.0%
2899,Zagrodzki,,35,0,0,3.5%,0.0%,0.0%
2834,Napieraj,,34,5,0,3.4%,0.5%,0.0%
2073,Wahlqvist,,34,18,0,3.4%,1.8%,0.0%
1400,Dziekoński,1,34,21,0,3.4%,2.1%,0.0%
2830,Zalewski,,33,0,0,3.3%,0.0%,0.0%
2850,Markiewicz,,33,0,0,3.3%,0.0%,0.0%
1925,Kobylak,,32,5,0,3.2%,0.5%,0.0%
2815,Montóia,2,30,26,1,3.0%,2.6%,0.1%
1795,Abramowicz,,28,18,0,2.8%,1.8%,0.0%
95,Świderski,,27,12,0,2.7%,1.2%,0.0%
2925,Kucharski,,25,0,0,2.5%,0.0%,0.0%
374,Uryga,,24,8,0,2.4%,0.8%,0.0%
2295,Bąk,,23,0,0,2.3%,0.0%,0.0%
1853,Racovițan,2,23,21,0,2.3%,2.1%,0.0%
1673,Banaszak,,22,9,0,2.2%,0.9%,0.0%
2821,Szalai,,22,8,0,2.2%,0.8%,0.0%
2306,Mras,,21,0,0,2.1%,0.0%,0.0%
2706,Kukulski,,20,0,0,2.0%,0.0%,0.0%
2560,Ciszek,,20,0,0,2.0%,0.0%,0.0%
2286,Cojocaru,,20,13,0,2.0%,1.3%,0.0%
1697,Kakabadze,,19,8,0,1.9%,0.8%,0.0%
2571,Henriksson,,18,7,0,1.8%,0.7%,0.0%
2918,Yegbe,2,17,11,0,1.7%,1.1%,0.0%
2859,Rogowski,,17,0,0,1.7%,0.0%,0.0%
1632,Kozubal,3,16,16,1,1.6%,1.6%,0.1%
1455,Ławniczak,,16,5,0,1.6%,0.5%,0.0%
2490,Čurlinov,3,15,9,0,1.5%,0.9%,0.0%
2863,Stępak,,15,0,0,1.5%,0.0%,0.0%
724,Alomerović,1,14,7,0,1.4%,0.7%,0.0%
994,Klemenz,,14,7,0,1.4%,0.7%,0.0%
2966,Agbonifo,3,14,13,2,1.4%,1.3%,0.2%
1494,K. Duda,,13,6,0,1.3%,0.6%,0.0%
2579,Zawadzki,,13,0,0,1.3%,0.0%,0.0%
2787,Damasiewicz,,13,0,0,1.3%,0.0%,0.0%
1719,Ameyaw,3,13,13,1,1.3%,1.3%,0.1%
2878,Duarte,3,12,5,0,1.2%,0.5%,0.0%
2304,Głogowski,,12,0,0,1.2%,0.0%,0.0%
1285,Luquinhas,3,11,7,0,1.1%,0.7%,0.0%
1341,Tudor,2,11,10,1,1.1%,1.0%,0.1%
2852,Brzozowski,,11,0,0,1.1%,0.0%,0.0%
1928,Svarnas,,11,7,0,1.1%,0.7%,0.0%
563,Wasielewski,2,10,2,0,1.0%,0.2%,0.0%
2661,Vital,2,10,7,0,1.0%,0.7%,0.0%
1169,Skrzypczak,2,10,9,0,1.0%,0.9%,0.0%
2892,Marjanac,,10,3,0,1.0%,0.3%,0.0%
2643,Zając,,10,0,0,1.0%,0.0%,0.0%
239,Flis,,10,1,0,1.0%,0.1%,0.0%
2902,Piazón,3,9,8,1,0.9%,0.8%,0.1%
2701,Plichta,,9,0,0,0.9%,0.0%,0.0%
2010,Hamulic,4,9,7,0,0.9%,0.7%,0.0%
1922,Piła,,9,6,0,0.9%,0.6%,0.0%
2557,Tapsoba,,9,0,0,0.9%,0.0%,0.0%
2968,Żulewski,,9,0,0,0.9%,0.0%,0.0%
195,Bereszyński,2,9,6,0,0.9%,0.6%,0.0%
2444,Krajewski,,8,0,0,0.8%,0.0%,0.0%
2996,Klint,,8,0,0,0.8%,0.0%,0.0%
2972,Wilczek,,8,0,0,0.8%,0.0%,0.0%
138,Gumny,2,8,6,1,0.8%,0.6%,0.1%
2745,Klich,3,8,5,0,0.8%,0.5%,0.0%
2058,Kocaba,3,8,5,0,0.8%,0.5%,0.0%
2958,Nowak,,8,0,0,0.8%,0.0%,0.0%
2384,Galán,,8,3,0,0.8%,0.3%,0.0%
1573,Milić,,8,1,0,0.8%,0.1%,0.0%
2293,Turek,,8,0,0,0.8%,0.0%,0.0%
2592,Kilianek,,8,0,0,0.8%,0.0%,0.0%
2417,Luberecki,,7,1,0,0.7%,0.1%,0.0%
1407,Seweryś,,7,0,0,0.7%,0.0%,0.0%
2921,Popa,,7,2,0,0.7%,0.2%,0.0%
2000,Semedo,3,7,5,0,0.7%,0.5%,0.0%
2926,Ntamack,,7,3,0,0.7%,0.3%,0.0%
2848,Zmrzlý,2,7,6,0,0.7%,0.6%,0.0%
