player_id,name,captain_count,captain_pct
480,Nowak,656,65.6%
1475,Ishak,48,4.8%
2476,Braut Brunes,47,4.7%
2671,Czubak,44,4.4%
951,Jędrych,29,2.9%
765,Imaz,28,2.8%
1010,Félix Garcia,25,2.5%
2423,N&#039;Diaye,24,2.4%
2234,Gholizadeh,23,2.3%
2205,Pululu,15,1.5%
303,Stępiński,11,1.1%
2780,Ćirković,8,0.8%
2698,Bengtsson,6,0.6%
1299,Carlos,5,0.5%
1192,Janža,4,0.4%
2406,Chłań,3,0.3%
2747,Vallejo,3,0.3%
2411,Bobček,3,0.3%
1880,Szkurin,3,0.3%
2110,Mena,3,0.3%
633,Wdowiak,2,0.2%
1539,López,1,0.1%
2779,Jurić,1,0.1%
791,Błanik,1,0.1%
2708,Rajović,1,0.1%
2477,Reguła,1,0.1%
128,Sekulski,1,0.1%
2817,Kornvig,1,0.1%
1757,Mrozek,1,0.1%
994,Klemenz,1,0.1%
632,Nowak,1,0.1%
