player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,3,978,977,399,97.8%,97.7%,39.9%
2205,Pululu,4,756,732,45,75.6%,73.2%,4.5%
2234,Gholizadeh,3,655,651,54,65.5%,65.1%,5.4%
2110,Mena,3,625,600,46,62.5%,60.0%,4.6%
860,Długosz,2,592,556,7,59.2%,55.6%,0.7%
951,Jędrych,2,558,538,1,55.8%,53.8%,0.1%
303,Stępiński,4,536,502,17,53.6%,50.2%,1.7%
2671,Czubak,4,510,509,110,51.0%,50.9%,11.0%
2423,N&#039;Diaye,3,499,479,23,49.9%,47.9%,2.3%
2560,Ciszek,,498,7,0,49.8%,0.7%,0.0%
765,Imaz,3,380,377,100,38.0%,37.7%,10.0%
1540,Wojtuszek,,365,245,0,36.5%,24.5%,0.0%
2598,Matysek,,362,0,0,36.2%,0.0%,0.0%
1299,Carlos,,351,207,0,35.1%,20.7%,0.0%
790,Plach,1,344,300,0,34.4%,30.0%,0.0%
1363,Wdowik,2,338,290,0,33.8%,29.0%,0.0%
2123,Gurgul,2,302,262,0,30.2%,26.2%,0.0%
2411,Bobček,4,298,298,96,29.8%,29.8%,9.6%
1757,Mrozek,1,278,255,0,27.8%,25.5%,0.0%
563,Wasielewski,2,243,216,1,24.3%,21.6%,0.1%
2608,Vereshchak,,208,1,0,20.8%,0.1%,0.0%
2476,Braut Brunes,4,201,159,5,20.1%,15.9%,0.5%
1794,Grosicki,3,180,180,22,18.0%,18.0%,2.2%
2562,Mazurek,,175,63,0,17.5%,6.3%,0.0%
1795,Abramowicz,1,154,137,0,15.4%,13.7%,0.0%
1192,Janža,2,145,108,0,14.5%,10.8%,0.0%
2623,Topór,,118,0,0,11.8%,0.0%,0.0%
774,Bergier,4,115,99,6,11.5%,9.9%,0.6%
1010,Félix Garcia,,98,61,0,9.8%,6.1%,0.0%
2287,Zych,,95,65,0,9.5%,6.5%,0.0%
827,Grzybek,2,95,81,0,9.5%,8.1%,0.0%
1225,Grzesik,2,95,86,1,9.5%,8.6%,0.1%
2481,Hasić,3,93,87,13,9.3%,8.7%,1.3%
2643,Zając,,81,0,0,8.1%,0.0%,0.0%
1475,Ishak,4,70,69,15,7.0%,6.9%,1.5%
2827,Ligocki,,69,0,0,6.9%,0.0%,0.0%
2829,Urbański,,68,0,0,6.8%,0.0%,0.0%
2530,Lewandowski,,65,0,0,6.5%,0.0%,0.0%
1097,Krzepisz,,65,0,0,6.5%,0.0%,0.0%
2696,Głowiński,,65,0,0,6.5%,0.0%,0.0%
2736,Popielec,,64,0,0,6.4%,0.0%,0.0%
130,Burić,1,64,56,0,6.4%,5.6%,0.0%
633,Wdowiak,3,63,44,0,6.3%,4.4%,0.0%
2384,Galán,2,62,55,0,6.2%,5.5%,0.0%
2406,Chłań,,62,51,0,6.2%,5.1%,0.0%
2717,Rodríguez,3,61,54,2,6.1%,5.4%,0.2%
2753,Šutalo,2,59,59,0,5.9%,5.9%,0.0%
2053,Madejski,1,58,54,0,5.8%,5.4%,0.0%
2424,Wolski,3,57,56,1,5.7%,5.6%,0.1%
2389,Diaby-Fadiga,,56,23,1,5.6%,2.3%,0.1%
2367,Mońka,2,55,45,0,5.5%,4.5%,0.0%
1928,Svarnas,,53,25,0,5.3%,2.5%,0.0%
2775,Ronaldo,3,52,51,7,5.2%,5.1%,0.7%
2483,Capita,3,52,52,6,5.2%,5.2%,0.6%
2016,Lewicki,2,52,18,0,5.2%,1.8%,0.0%
991,Neugebauer,,49,41,0,4.9%,4.1%,0.0%
2286,Cojocaru,,46,42,0,4.6%,4.2%,0.0%
2817,Kornvig,,45,39,1,4.5%,3.9%,0.1%
994,Klemenz,,45,39,0,4.5%,3.9%,0.0%
722,Angielski,4,44,34,0,4.4%,3.4%,0.0%
138,Gumny,2,42,35,0,4.2%,3.5%,0.0%
1625,Rusyn,,42,32,1,4.2%,3.2%,0.1%
1616,Zreľák,4,42,26,0,4.2%,2.6%,0.0%
632,Nowak,3,39,26,0,3.9%,2.6%,0.0%
1435,Strączek,1,37,25,0,3.7%,2.5%,0.0%
2764,Sinkiewicz,,37,0,0,3.7%,0.0%,0.0%
2701,Plichta,,36,0,0,3.6%,0.0%,0.0%
2280,Ulvestad,3,35,31,1,3.5%,3.1%,0.1%
2679,Mukairu,3,34,34,2,3.4%,3.4%,0.2%
2790,Kaczorowski,,34,0,0,3.4%,0.0%,0.0%
2071,Koútris,2,34,29,0,3.4%,2.9%,0.0%
2514,Jesionowski,,34,0,0,3.4%,0.0%,0.0%
2600,Szafrański,,33,0,0,3.3%,0.0%,0.0%
1909,Adamski,4,33,24,2,3.3%,2.4%,0.2%
2250,Rychta,,32,0,0,3.2%,0.0%,0.0%
2561,Mikielewicz,,31,0,0,3.1%,0.0%,0.0%
1719,Ameyaw,,31,21,0,3.1%,2.1%,0.0%
2477,Reguła,3,30,30,1,3.0%,3.0%,0.1%
2706,Kukulski,,30,0,0,3.0%,0.0%,0.0%
1341,Tudor,,29,15,0,2.9%,1.5%,0.0%
2751,Stanowski,,29,0,0,2.9%,0.0%,0.0%
2800,Cheng,,26,19,0,2.6%,1.9%,0.0%
1573,Milić,2,26,24,0,2.6%,2.4%,0.0%
701,Kun,,26,7,0,2.6%,0.7%,0.0%
2698,Bengtsson,3,24,19,0,2.4%,1.9%,0.0%
2293,Turek,,24,0,0,2.4%,0.0%,0.0%
2705,Pruszkowski,,22,0,0,2.2%,0.0%,0.0%
1835,Biczachczjan,3,22,13,1,2.2%,1.3%,0.1%
2789,Kokosiński,,21,0,0,2.1%,0.0%,0.0%
2366,Golonka,,21,0,0,2.1%,0.0%,0.0%
256,Czerwiński,,20,7,0,2.0%,0.7%,0.0%
1712,Pereira,,20,10,0,2.0%,1.0%,0.0%
128,Sekulski,4,20,17,0,2.0%,1.7%,0.0%
2750,Jakubowski,,19,0,0,1.9%,0.0%,0.0%
1747,Drapiński,,19,5,0,1.9%,0.5%,0.0%
1569,Wójcik,2,19,18,0,1.9%,1.8%,0.0%
2756,Paulsen,1,19,13,0,1.9%,1.3%,0.0%
1782,Maurides,4,19,18,2,1.9%,1.8%,0.2%
2281,Kerk,3,19,18,0,1.9%,1.8%,0.0%
2825,Sans,3,18,15,1,1.8%,1.5%,0.1%
2728,Rivas,2,18,10,0,1.8%,1.0%,0.0%
2781,Rogelj,2,17,11,0,1.7%,1.1%,0.0%
2741,Peškovič,,17,0,0,1.7%,0.0%,0.0%
2823,Leszczyński,,17,0,0,1.7%,0.0%,0.0%
2757,Krasniqi,,17,14,0,1.7%,1.4%,0.0%
1126,Piątkowski,2,16,7,0,1.6%,0.7%,0.0%
2475,Grzejszczak,,16,0,0,1.6%,0.0%,0.0%
2754,Klat,,16,0,0,1.6%,0.0%,0.0%
2799,Bukari,3,16,13,0,1.6%,1.3%,0.0%
1411,Leszczyński,1,16,10,0,1.6%,1.0%,0.0%
2505,Keramítsis,2,15,13,0,1.5%,1.3%,0.0%
1632,Kozubal,,15,11,0,1.5%,1.1%,0.0%
2524,Gryzio,,15,0,0,1.5%,0.0%,0.0%
