player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form
480,Bartosz Nowak,GKS Katowice,Pomocnik,54,2.6,20.77,69%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 20, 'pts': 7, 'p': True}, {'r': 21, 'pts': 6, 'p': True}, {'r': 22, 'pts': 6, 'p': True}, {'r': 23, 'pts': 9, 'p': True}, {'r': 24, 'pts': 6, 'p': True}]"
827,Mateusz Grzybek,Zagłębie Lubin,Obrońca,43,1.8,23.89,27%,https://fantasy.ekstraklasa.org/player/827,"[{'r': 20, 'pts': 2, 'p': True}, {'r': 21, 'pts': 5, 'p': True}, {'r': 22, 'pts': 12, 'p': True}, {'r': 23, 'pts': 19, 'p': True}, {'r': 24, 'pts': 3, 'p': True}]"
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,43,2.0,21.5,21%,https://fantasy.ekstraklasa.org/player/951,"[{'r': 20, 'pts': 6, 'p': True}, {'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 1, 'p': True}, {'r': 23, 'pts': 10, 'p': True}, {'r': 24, 'pts': 12, 'p': True}]"
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,43,2.4,17.92,46%,https://fantasy.ekstraklasa.org/player/2234,"[{'r': 20, 'pts': 2, 'p': True}, {'r': 21, 'pts': 13, 'p': True}, {'r': 22, 'pts': 9, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 0, 'p': True}]"
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,39,1.9,20.53,30%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 20, 'pts': 7, 'p': True}, {'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 7, 'p': True}, {'r': 23, 'pts': 9, 'p': True}, {'r': 24, 'pts': 0, 'p': False}]"
994,Lukas Klemenz,GKS Katowice,Obrońca,37,1.9,19.47,17%,https://fantasy.ekstraklasa.org/player/994,"[{'r': 20, 'pts': 13, 'p': True}, {'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 1, 'p': True}, {'r': 23, 'pts': 3, 'p': True}, {'r': 24, 'pts': 6, 'p': True}]"
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,37,2.5,14.8,60%,https://fantasy.ekstraklasa.org/player/2205,"[{'r': 20, 'pts': 11, 'p': True}, {'r': 21, 'pts': 1, 'p': True}, {'r': 22, 'pts': 5, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 2, 'p': True}]"
130,Jasmin Burić,Zagłębie Lubin,Bramkarz,36,1.8,20.0,15%,https://fantasy.ekstraklasa.org/player/130,"[{'r': 20, 'pts': 4, 'p': True}, {'r': 21, 'pts': 8, 'p': True}, {'r': 22, 'pts': 9, 'p': True}, {'r': 23, 'pts': 7, 'p': True}, {'r': 24, 'pts': 3, 'p': True}]"
2747,Hugo Vallejo,Piast Gliwice,Pomocnik,36,1.7,21.18,1%,https://fantasy.ekstraklasa.org/player/2747,"[{'r': 20, 'pts': 7, 'p': True}, {'r': 21, 'pts': 2, 'p': True}, {'r': 22, 'pts': 5, 'p': True}, {'r': 23, 'pts': 3, 'p': True}, {'r': 24, 'pts': 2, 'p': True}]"
1280,Damian Michalski,Zagłębie Lubin,Obrońca,34,1.9,17.89,4%,https://fantasy.ekstraklasa.org/player/1280,"[{'r': 20, 'pts': 5, 'p': True}, {'r': 21, 'pts': 5, 'p': True}, {'r': 22, 'pts': 6, 'p': True}, {'r': 23, 'pts': 5, 'p': True}, {'r': 24, 'pts': 10, 'p': True}]"
