player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
2775,Fábio Ronaldo,Motor Lublin,Pomocnik,40,2.0,20.0,2%,https://fantasy.ekstraklasa.org/player/2775,"[{'r': 26, 'pts': 4, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2801,Bartłomiej Drągowski,Widzew Łódź,Bramkarz,40,1.8,22.22,7%,https://fantasy.ekstraklasa.org/player/2801,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 6, 'p': True}]",,,,,,
698,Alan Czerwiński,GKS Katowice,Obrońca,39,1.8,21.67,1%,https://fantasy.ekstraklasa.org/player/698,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 4, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
1853,Bogdan Racovițan,Raków Częstochowa,Obrońca,39,2.0,19.5,5%,https://fantasy.ekstraklasa.org/player/1853,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 3, 'p': True}]",,,,,,
2577,Josip Ćorluka,Zagłębie Lubin,Obrońca,39,1.8,21.67,4%,https://fantasy.ekstraklasa.org/player/2577,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2759,Eman Markovic,GKS Katowice,Pomocnik,39,1.8,21.67,8%,https://fantasy.ekstraklasa.org/player/2759,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 13, 'p': True}, {'r': 29, 'pts': 14, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
1299,Jean Carlos Silva,Raków Częstochowa,Obrońca,38,1.9,20.0,10%,https://fantasy.ekstraklasa.org/player/1299,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 3, 'p': True}]",,,,,,
2367,Wojciech Mońka,Lech Poznań,Obrońca,38,1.7,22.35,10%,https://fantasy.ekstraklasa.org/player/2367,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 6, 'p': True}]",,,,,,
346,Vladislavs Gutkovskis,Arka Gdynia,Napastnik,37,1.9,19.47,2%,https://fantasy.ekstraklasa.org/player/346,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 4, 'p': True}]",,,,,,
860,Wiktor Długosz,Korona Kielce,Obrońca,37,1.8,20.56,21%,https://fantasy.ekstraklasa.org/player/860,"[{'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
1411,Rafał Leszczyński,Wisła Płock,Bramkarz,37,2.0,18.5,7%,https://fantasy.ekstraklasa.org/player/1411,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 5, 'p': True}, {'r': 30, 'pts': 3, 'p': True}]",,,,,,
1928,Stratos Svarnas,Raków Częstochowa,Obrońca,37,2.1,17.62,9%,https://fantasy.ekstraklasa.org/player/1928,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2779,Deni Jurić,Wisła Płock,Napastnik,37,1.8,20.56,5%,https://fantasy.ekstraklasa.org/player/2779,"[{'r': 26, 'pts': 12, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2562,Bartosz Mazurek,Jagiellonia Białystok,Pomocnik,36,1.6,22.5,13%,https://fantasy.ekstraklasa.org/player/2562,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 4, 'p': True}, {'r': 30, 'pts': -2, 'p': True}]",,,,,,
701,Patryk Kun,Legia Warszawa,Obrońca,35,1.7,20.59,11%,https://fantasy.ekstraklasa.org/player/701,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': -1, 'p': True}]",,,,,,
1126,Kamil Piątkowski,Legia Warszawa,Obrońca,35,1.8,19.44,6%,https://fantasy.ekstraklasa.org/player/1126,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 11, 'p': True}, {'r': 30, 'pts': -1, 'p': True}]",,,,,,
2053,Sebastian Madejski,Cracovia,Bramkarz,35,1.8,19.44,4%,https://fantasy.ekstraklasa.org/player/2053,"[{'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 0, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2191,Radovan Pankov,Legia Warszawa,Obrońca,35,1.8,19.44,3%,https://fantasy.ekstraklasa.org/player/2191,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': -1, 'p': True}]",,,,,,
2498,Patrik Wålemark,Lech Poznań,Pomocnik,35,2.0,17.5,2%,https://fantasy.ekstraklasa.org/player/2498,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 9, 'p': True}]",,,,,,
1345,Dawid Kocyła,Arka Gdynia,Obrońca,34,1.7,20.0,1%,https://fantasy.ekstraklasa.org/player/1345,"[{'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 1, 'p': True}, {'r': 30, 'pts': 5, 'p': True}]",,,,,,
2225,Fran Álvarez,Widzew Łódź,Pomocnik,34,2.1,16.19,6%,https://fantasy.ekstraklasa.org/player/2225,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 3, 'p': True}]",,,,,,
2708,Mileta Rajović,Legia Warszawa,Napastnik,34,1.8,18.89,12%,https://fantasy.ekstraklasa.org/player/2708,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 12, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
1573,Antonio Milić,Lech Poznań,Obrońca,33,2.0,16.5,4%,https://fantasy.ekstraklasa.org/player/1573,"[{'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 4, 'p': True}, {'r': 28, 'pts': 0, 'p': False}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
1909,Rafał Adamski,Legia Warszawa,Napastnik,33,1.8,18.33,7%,https://fantasy.ekstraklasa.org/player/1909,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2756,Alex Paulsen,Lechia Gdańsk,Bramkarz,33,1.7,19.41,3%,https://fantasy.ekstraklasa.org/player/2756,"[{'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2805,Otto Hindrich,Legia Warszawa,Bramkarz,33,1.8,18.33,6%,https://fantasy.ekstraklasa.org/player/2805,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': 0, 'p': True}]",,,,,,
2032,Oskar Leśniak,Piast Gliwice,Pomocnik,32,1.6,20.0,1%,https://fantasy.ekstraklasa.org/player/2032,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2781,Žan Rogelj,Wisła Płock,Obrońca,32,1.8,17.78,2%,https://fantasy.ekstraklasa.org/player/2781,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 10, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2826,Levente Szabó,Zagłębie Lubin,Napastnik,32,1.8,17.78,3%,https://fantasy.ekstraklasa.org/player/2826,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
415,Michał Marcjanik,Arka Gdynia,Obrońca,31,1.8,17.22,3%,https://fantasy.ekstraklasa.org/player/415,"[{'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 0, 'p': True}, {'r': 30, 'pts': -1, 'p': True}]",,,,,,
1712,Joel Pereira,Lech Poznań,Obrońca,31,2.0,15.5,8%,https://fantasy.ekstraklasa.org/player/1712,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 0, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 10, 'p': True}]",,,,,,
1893,Dani Pacheco,Wisła Płock,Pomocnik,31,1.8,17.22,1%,https://fantasy.ekstraklasa.org/player/1893,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 3, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2444,Marcel Krajewski,Widzew Łódź,Obrońca,31,1.8,17.22,2%,https://fantasy.ekstraklasa.org/player/2444,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
681,Michał Nalepa,Zagłębie Lubin,Obrońca,30,1.8,16.67,3%,https://fantasy.ekstraklasa.org/player/681,"[{'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': -3, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 0, 'p': True}]",,,,,,
1225,Jan Grzesik,Radomiak Radom,Obrońca,30,2.2,13.64,10%,https://fantasy.ekstraklasa.org/player/1225,"[{'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 6, 'p': True}]",,,,,,
1653,Adam Radwański,Zagłębie Lubin,Pomocnik,30,1.9,15.79,1%,https://fantasy.ekstraklasa.org/player/1653,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
1747,Igor Drapiński,Piast Gliwice,Obrońca,30,1.8,16.67,1%,https://fantasy.ekstraklasa.org/player/1747,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 4, 'p': True}, {'r': 28, 'pts': 1, 'p': True}, {'r': 29, 'pts': 1, 'p': True}, {'r': 30, 'pts': 10, 'p': True}]",,,,,,
1931,Steve Kapuadi,Widzew Łódź,Obrońca,30,1.8,16.67,2%,https://fantasy.ekstraklasa.org/player/1931,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 1, 'p': True}, {'r': 30, 'pts': 6, 'p': True}]",,,,,,
