player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,availability_status,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
1987,Jordi Sánchez,Wisła Kraków,Napastnik,26,1.9,13.68,33%,https://fantasy.ekstraklasa.org/player/1987,"[{'r': 1, 'pts': 8, 'p': True}, {'r': 2, 'pts': 11, 'p': True}, {'r': 3, 'pts': 7, 'p': True}]",,,,,,,
1319,Paweł Wszołek,Legia Warszawa,Obrońca,23,2.1,10.95,42%,https://fantasy.ekstraklasa.org/player/1319,"[{'r': 1, 'pts': 11, 'p': True}, {'r': 2, 'pts': 7, 'p': True}, {'r': 3, 'pts': 5, 'p': True}]",,,,,,,
2431,Rúben Vinagre,Legia Warszawa,Obrońca,21,1.9,11.05,24%,https://fantasy.ekstraklasa.org/player/2431,"[{'r': 1, 'pts': 6, 'p': True}, {'r': 2, 'pts': 10, 'p': True}, {'r': 3, 'pts': 5, 'p': True}]",,,,,,,
2679,Paul Mukairu,Pogoń Szczecin,Pomocnik,18,2.1,8.57,13%,https://fantasy.ekstraklasa.org/player/2679,"[{'r': 1, 'pts': 2, 'p': True}, {'r': 2, 'pts': 13, 'p': True}, {'r': 3, 'pts': 3, 'p': True}]",,,,,,,
2880,Marko Bozic,Wisła Kraków,Pomocnik,18,1.9,9.47,22%,https://fantasy.ekstraklasa.org/player/2880,"[{'r': 1, 'pts': 8, 'p': True}, {'r': 2, 'pts': 7, 'p': True}, {'r': 3, 'pts': 3, 'p': True}]",,,,,,,
2002,Léo Borges,Pogoń Szczecin,Obrońca,17,1.7,10.0,6%,https://fantasy.ekstraklasa.org/player/2002,"[{'r': 1, 'pts': 1, 'p': True}, {'r': 2, 'pts': 13, 'p': True}, {'r': 3, 'pts': 3, 'p': True}]",,,,,,,
2821,Attila Szalai,Pogoń Szczecin,Obrońca,17,1.9,8.95,3%,https://fantasy.ekstraklasa.org/player/2821,"[{'r': 1, 'pts': 2, 'p': True}, {'r': 2, 'pts': 6, 'p': True}, {'r': 3, 'pts': 9, 'p': True}]",,,,,,,
2805,Otto Hindrich,Legia Warszawa,Bramkarz,16,1.9,8.42,31%,https://fantasy.ekstraklasa.org/player/2805,"[{'r': 1, 'pts': 8, 'p': True}, {'r': 2, 'pts': 3, 'p': True}, {'r': 3, 'pts': 5, 'p': True}]",,,,,,,
239,Marcin Flis,Wisła Płock,Obrońca,15,1.7,8.82,7%,https://fantasy.ekstraklasa.org/player/239,"[{'r': 1, 'pts': 10, 'p': True}, {'r': 2, 'pts': 4, 'p': True}, {'r': 3, 'pts': 1, 'p': True}]",,,,,,,
2286,Valentin Cojocaru,Pogoń Szczecin,Bramkarz,15,1.8,8.33,4%,https://fantasy.ekstraklasa.org/player/2286,"[{'r': 1, 'pts': 3, 'p': True}, {'r': 2, 'pts': 8, 'p': True}, {'r': 3, 'pts': 4, 'p': True}]",,,,,,,
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,15,2.4,6.25,20%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 1, 'pts': 8, 'p': True}, {'r': 2, 'pts': 5, 'p': True}, {'r': 3, 'pts': 2, 'p': True}]",,,,,,,
2781,Žan Rogelj,Wisła Płock,Obrońca,15,1.8,8.33,3%,https://fantasy.ekstraklasa.org/player/2781,"[{'r': 1, 'pts': 9, 'p': True}, {'r': 2, 'pts': 5, 'p': True}, {'r': 3, 'pts': 1, 'p': True}]",,,,,,,
480,Bartosz Nowak,GKS Katowice,Pomocnik,14,3.3,4.24,22%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 1, 'pts': 5, 'p': True}, {'r': 2, 'pts': 9, 'p': True}]",,,,,,,
923,Rafał Augustyniak,Legia Warszawa,Obrońca,14,1.8,7.78,5%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 1, 'pts': 6, 'p': True}, {'r': 2, 'pts': 3, 'p': True}, {'r': 3, 'pts': 5, 'p': True}]",,,,,,,
1092,Piotr Samiec-Talar,Śląsk Wrocław,Pomocnik,14,2.1,6.67,23%,https://fantasy.ekstraklasa.org/player/1092,"[{'r': 1, 'pts': 5, 'p': True}, {'r': 2, 'pts': 9, 'p': True}, {'r': 3, 'pts': 0, 'p': False}]",,,,,,,
