player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
1319,Wszołek,2,791,780,54,79.1%,78.0%,5.4%
1987,Sánchez,4,635,632,315,63.5%,63.2%,31.5%
1225,Grzesik,2,608,591,23,60.8%,59.1%,2.3%
2431,Vinagre,2,542,532,49,54.2%,53.2%,4.9%
1092,Samiec-Talar,3,534,528,99,53.4%,52.8%,9.9%
1529,Fornalczyk,3,470,431,2,47.0%,43.1%,0.2%
774,Bergier,4,357,304,12,35.7%,30.4%,1.2%
1507,Zjawiński,4,345,336,51,34.5%,33.6%,5.1%
2880,Bozic,3,336,334,48,33.6%,33.4%,4.8%
2801,Drągowski,1,330,266,1,33.0%,26.6%,0.1%
2805,Hindrich,1,308,293,2,30.8%,29.3%,0.2%
1540,Wojtuszek,,287,208,0,28.7%,20.8%,0.0%
992,Wiśniewski,,286,211,1,28.6%,21.1%,0.1%
480,Nowak,,283,43,10,28.3%,4.3%,1.0%
1464,Szmyt,3,281,252,1,28.1%,25.2%,0.1%
2671,Czubak,4,269,259,26,26.9%,25.9%,2.6%
2498,Wålemark,3,267,259,7,26.7%,25.9%,0.7%
2878,Duarte,,256,247,14,25.6%,24.7%,1.4%
2679,Mukairu,3,249,246,41,24.9%,24.6%,4.1%
1026,Lis,1,249,230,1,24.9%,23.0%,0.1%
2881,Rodado,4,225,220,114,22.5%,22.0%,11.4%
2829,Urbański,,222,3,0,22.2%,0.3%,0.0%
2423,N&#039;Diaye,3,221,206,3,22.1%,20.6%,0.3%
1299,Carlos,,199,15,0,19.9%,1.5%,0.0%
1126,Piątkowski,2,190,179,3,19.0%,17.9%,0.3%
2123,Gurgul,2,168,159,2,16.8%,15.9%,0.2%
2225,Álvarez,3,152,127,0,15.2%,12.7%,0.0%
2477,Reguła,,151,21,0,15.1%,2.1%,0.0%
2733,Palma,3,147,146,38,14.7%,14.6%,3.8%
765,Imaz,3,144,140,3,14.4%,14.0%,0.3%
1327,Urbański,3,143,116,7,14.3%,11.6%,0.7%
2481,Hasić,3,141,125,1,14.1%,12.5%,0.1%
2367,Mońka,2,135,128,1,13.5%,12.8%,0.1%
1168,Makuch,,129,12,0,12.9%,1.2%,0.0%
95,Świderski,,127,104,0,12.7%,10.4%,0.0%
2007,Matys,,124,0,0,12.4%,0.0%,0.0%
1795,Abramowicz,,100,74,0,10.0%,7.4%,0.0%
1673,Banaszak,4,94,86,4,9.4%,8.6%,0.4%
2717,Rodríguez,3,87,84,6,8.7%,8.4%,0.6%
1521,Kapustka,,86,81,1,8.6%,8.1%,0.1%
1909,Adamski,4,85,67,2,8.5%,6.7%,0.2%
2896,Kustra,,82,0,0,8.2%,0.0%,0.0%
2918,Yegbe,2,82,71,0,8.2%,7.1%,0.0%
2939,Prelec,4,81,67,1,8.1%,6.7%,0.1%
2659,Łubik,1,80,65,0,8.0%,6.5%,0.0%
184,Wolski,3,79,75,2,7.9%,7.5%,0.2%
1475,Ishak,4,79,78,16,7.9%,7.8%,1.6%
2869,Krzyżanowski,,75,51,1,7.5%,5.1%,0.1%
2002,Borges,2,73,61,0,7.3%,6.1%,0.0%
2406,Chłań,3,70,59,1,7.0%,5.9%,0.1%
2830,Zalewski,,70,2,0,7.0%,0.2%,0.0%
1712,Pereira,2,65,60,0,6.5%,6.0%,0.0%
951,Jędrych,,65,11,0,6.5%,1.1%,0.0%
2832,Grelich,,65,0,0,6.5%,0.0%,0.0%
2767,Agnero,4,62,59,7,6.2%,5.9%,0.7%
1632,Kozubal,3,60,56,1,6.0%,5.6%,0.1%
2517,Basse,,60,1,0,6.0%,0.1%,0.0%
2430,Nsame,4,59,39,0,5.9%,3.9%,0.0%
2708,Rajović,4,58,50,0,5.8%,5.0%,0.0%
1490,Trelowski,,58,1,0,5.8%,0.1%,0.0%
2800,Cheng,,56,14,0,5.6%,1.4%,0.0%
1931,Kapuadi,,56,33,0,5.6%,3.3%,0.0%
2843,Żołneczko,,54,0,0,5.4%,0.0%,0.0%
2892,Marjanac,,53,51,5,5.3%,5.1%,0.5%
2899,Zagrodzki,,51,0,0,5.1%,0.0%,0.0%
1285,Luquinhas,3,50,44,1,5.0%,4.4%,0.1%
2850,Markiewicz,,50,0,0,5.0%,0.0%,0.0%
1192,Janža,,48,31,0,4.8%,3.1%,0.0%
923,Augustyniak,2,48,45,1,4.8%,4.5%,0.1%
2895,Schulze,,46,11,0,4.6%,1.1%,0.0%
2741,Peškovič,,42,0,0,4.2%,0.0%,0.0%
2366,Golonka,,41,0,0,4.1%,0.0%,0.0%
2662,Kobayashi,,39,25,0,3.9%,2.5%,0.0%
1926,Alves,3,38,27,1,3.8%,2.7%,0.1%
2557,Tapsoba,,38,30,0,3.8%,3.0%,0.0%
2821,Szalai,2,38,34,0,3.8%,3.4%,0.0%
303,Stępiński,,38,27,2,3.8%,2.7%,0.2%
2250,Rychta,,38,0,0,3.8%,0.0%,0.0%
1494,K. Duda,,37,35,0,3.7%,3.5%,0.0%
2073,Wahlqvist,2,37,28,3,3.7%,2.8%,0.3%
2925,Kucharski,,36,0,0,3.6%,0.0%,0.0%
827,Grzybek,,35,1,0,3.5%,0.1%,0.0%
2817,Kornvig,3,35,30,1,3.5%,3.0%,0.1%
791,Błanik,3,35,25,1,3.5%,2.5%,0.1%
1725,Emreli,,35,9,1,3.5%,0.9%,0.1%
1697,Kakabadze,,34,18,0,3.4%,1.8%,0.0%
2053,Madejski,,32,20,0,3.2%,2.0%,0.0%
2879,Kuziemka,,32,20,0,3.2%,2.0%,0.0%
2950,Wadas,,32,0,0,3.2%,0.0%,0.0%
2706,Kukulski,,30,0,0,3.0%,0.0%,0.0%
374,Uryga,2,29,26,1,2.9%,2.6%,0.1%
2561,Mikielewicz,,28,0,0,2.8%,0.0%,0.0%
239,Flis,,28,17,0,2.8%,1.7%,0.0%
2863,Stępak,,27,0,0,2.7%,0.0%,0.0%
2841,Ikia Dimi,3,26,23,0,2.6%,2.3%,0.0%
2010,Hamulic,4,24,22,1,2.4%,2.2%,0.1%
2906,Feiertag,,24,5,0,2.4%,0.5%,0.0%
587,Dziczek,3,23,21,0,2.3%,2.1%,0.0%
2295,Bąk,,23,0,0,2.3%,0.0%,0.0%
2490,Čurlinov,3,22,22,6,2.2%,2.2%,0.6%
1880,Szkurin,,22,5,0,2.2%,0.5%,0.0%
166,Janicki,2,22,16,0,2.2%,1.6%,0.0%
195,Bereszyński,2,22,3,0,2.2%,0.3%,0.0%
2281,Kerk,,21,3,0,2.1%,0.3%,0.0%
2306,Mras,,20,0,0,2.0%,0.0%,0.0%
2286,Cojocaru,,20,14,0,2.0%,1.4%,0.0%
2815,Montóia,,19,11,0,1.9%,1.1%,0.0%
2444,Krajewski,,19,8,0,1.9%,0.8%,0.0%
1341,Tudor,,18,1,0,1.8%,0.1%,0.0%
1386,Mosór,2,17,8,0,1.7%,0.8%,0.0%
2958,Nowak,,17,0,0,1.7%,0.0%,0.0%
2560,Ciszek,,17,0,0,1.7%,0.0%,0.0%
2643,Zając,,17,0,0,1.7%,0.0%,0.0%
138,Gumny,2,17,12,0,1.7%,1.2%,0.0%
2787,Damasiewicz,,16,0,0,1.6%,0.0%,0.0%
2000,Semedo,,16,0,0,1.6%,0.0%,0.0%
2917,Sayyadmanesh,3,16,16,2,1.6%,1.6%,0.2%
