player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,3,930,837,111,93.0%,83.7%,11.1%
2234,Gholizadeh,3,761,757,180,76.1%,75.7%,18.0%
2671,Czubak,4,725,716,70,72.5%,71.6%,7.0%
2423,N&#039;Diaye,3,654,613,15,65.4%,61.3%,1.5%
951,Jędrych,2,631,370,2,63.1%,37.0%,0.2%
2205,Pululu,4,520,480,34,52.0%,48.0%,3.4%
2560,Ciszek,,447,0,0,44.7%,0.0%,0.0%
860,Długosz,,446,318,0,44.6%,31.8%,0.0%
2780,Ćirković,3,387,375,32,38.7%,37.5%,3.2%
2123,Gurgul,2,339,317,0,33.9%,31.7%,0.0%
303,Stępiński,4,331,246,2,33.1%,24.6%,0.2%
1475,Ishak,4,304,303,174,30.4%,30.3%,17.4%
1192,Janža,,303,240,0,30.3%,24.0%,0.0%
1757,Mrozek,1,297,277,4,29.7%,27.7%,0.4%
765,Imaz,3,277,275,45,27.7%,27.5%,4.5%
827,Grzybek,2,270,191,2,27.0%,19.1%,0.2%
2598,Matysek,,269,0,0,26.9%,0.0%,0.0%
1010,Félix Garcia,3,262,232,8,26.2%,23.2%,0.8%
701,Kun,2,255,233,2,25.5%,23.3%,0.2%
1540,Wojtuszek,2,252,202,0,25.2%,20.2%,0.0%
2476,Braut Brunes,,241,205,5,24.1%,20.5%,0.5%
2708,Rajović,4,233,229,53,23.3%,22.9%,5.3%
2562,Mazurek,3,206,109,0,20.6%,10.9%,0.0%
130,Burić,1,202,163,1,20.2%,16.3%,0.1%
1363,Wdowik,2,181,154,2,18.1%,15.4%,0.2%
994,Klemenz,,176,90,1,17.6%,9.0%,0.1%
563,Wasielewski,2,171,62,0,17.1%,6.2%,0.0%
1299,Carlos,,169,117,0,16.9%,11.7%,0.0%
2225,Álvarez,3,169,168,64,16.9%,16.8%,6.4%
2411,Bobček,4,160,159,58,16.0%,15.9%,5.8%
774,Bergier,4,157,152,54,15.7%,15.2%,5.4%
2698,Bengtsson,3,131,128,16,13.1%,12.8%,1.6%
1795,Abramowicz,,124,94,0,12.4%,9.4%,0.0%
2608,Vereshchak,,110,1,0,11.0%,0.1%,0.0%
2287,Zych,,109,62,0,10.9%,6.2%,0.0%
2424,Wolski,3,100,80,0,10.0%,8.0%,0.0%
1319,Wszołek,2,98,98,4,9.8%,9.8%,0.4%
992,Wiśniewski,2,97,94,3,9.7%,9.4%,0.3%
2805,Hindrich,1,95,92,1,9.5%,9.2%,0.1%
2747,Vallejo,3,93,69,0,9.3%,6.9%,0.0%
2367,Mońka,2,90,73,0,9.0%,7.3%,0.0%
1435,Strączek,,86,47,0,8.6%,4.7%,0.0%
2623,Topór,,78,0,0,7.8%,0.0%,0.0%
1573,Milić,2,76,71,1,7.6%,7.1%,0.1%
2603,Kubiak,,76,23,0,7.6%,2.3%,0.0%
2444,Krajewski,2,68,68,2,6.8%,6.8%,0.2%
1280,Michalski,2,67,58,0,6.7%,5.8%,0.0%
2450,Brkić,,66,55,0,6.6%,5.5%,0.0%
2477,Reguła,3,65,60,6,6.5%,6.0%,0.6%
2801,Drągowski,1,64,60,0,6.4%,6.0%,0.0%
2053,Madejski,1,62,56,0,6.2%,5.6%,0.0%
2110,Mena,3,59,51,1,5.9%,5.1%,0.1%
184,Wolski,3,56,47,2,5.6%,4.7%,0.2%
2817,Kornvig,3,56,54,11,5.6%,5.4%,1.1%
1909,Adamski,4,55,50,5,5.5%,5.0%,0.5%
2779,Jurić,4,55,43,3,5.5%,4.3%,0.3%
2481,Hasić,3,51,48,7,5.1%,4.8%,0.7%
2643,Zając,,48,0,0,4.8%,0.0%,0.0%
1001,Szymański,1,47,23,0,4.7%,2.3%,0.0%
2281,Kerk,3,46,40,1,4.6%,4.0%,0.1%
2530,Lewandowski,,46,1,0,4.6%,0.1%,0.0%
2829,Urbański,,43,0,0,4.3%,0.0%,0.0%
1097,Krzepisz,,40,0,0,4.0%,0.0%,0.0%
1712,Pereira,2,38,37,1,3.8%,3.7%,0.1%
2727,Ława,,37,0,0,3.7%,0.0%,0.0%
2366,Golonka,,37,0,0,3.7%,0.0%,0.0%
1928,Svarnas,2,36,21,0,3.6%,2.1%,0.0%
2696,Głowiński,,36,0,0,3.6%,0.0%,0.0%
2790,Kaczorowski,,35,0,0,3.5%,0.0%,0.0%
633,Wdowiak,,35,13,0,3.5%,1.3%,0.0%
2561,Mikielewicz,,34,1,0,3.4%,0.1%,0.0%
2406,Chłań,,34,25,0,3.4%,2.5%,0.0%
2756,Paulsen,1,33,16,0,3.3%,1.6%,0.0%
2827,Ligocki,,33,0,0,3.3%,0.0%,0.0%
2717,Rodríguez,,32,27,0,3.2%,2.7%,0.0%
1400,Dziekoński,1,29,21,0,2.9%,2.1%,0.0%
2600,Szafrański,,28,0,0,2.8%,0.0%,0.0%
2659,Łubik,,28,8,0,2.8%,0.8%,0.0%
2775,Ronaldo,,27,15,0,2.7%,1.5%,0.0%
2250,Rychta,,27,0,0,2.7%,0.0%,0.0%
2832,Grelich,,26,0,0,2.6%,0.0%,0.0%
1539,López,,26,3,0,2.6%,0.3%,0.0%
2417,Luberecki,,26,15,0,2.6%,1.5%,0.0%
2736,Popielec,,25,0,0,2.5%,0.0%,0.0%
2705,Pruszkowski,,24,0,0,2.4%,0.0%,0.0%
415,Marcjanik,2,24,15,0,2.4%,1.5%,0.0%
2706,Kukulski,,22,0,0,2.2%,0.0%,0.0%
1126,Piątkowski,2,22,21,0,2.2%,2.1%,0.0%
2577,Ćorluka,2,21,17,0,2.1%,1.7%,0.0%
2751,Stanowski,,21,0,0,2.1%,0.0%,0.0%
2764,Sinkiewicz,,21,0,0,2.1%,0.0%,0.0%
