player_id,name,captain_count,captain_pct
2205,Pululu,223,22.3%
303,Stępiński,169,16.9%
480,Nowak,143,14.3%
765,Imaz,115,11.5%
860,Długosz,77,7.7%
2411,Bobček,56,5.6%
2234,Gholizadeh,53,5.3%
2671,Czubak,47,4.7%
1539,López,28,2.8%
1475,Ishak,26,2.6%
2476,Braut Brunes,23,2.3%
2110,Mena,14,1.4%
1909,Adamski,3,0.3%
1360,Chodyna,3,0.3%
2552,Sotiríou,2,0.2%
827,Grzybek,2,0.2%
2424,Wolski,2,0.2%
951,Jędrych,2,0.2%
2668,Svetlin,1,0.1%
2708,Rajović,1,0.1%
2775,Ronaldo,1,0.1%
2637,Kamiński,1,0.1%
1363,Wdowik,1,0.1%
2733,Palma,1,0.1%
2717,Rodríguez,1,0.1%
2163,Pięczek,1,0.1%
2483,Capita,1,0.1%
