player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,availability_status,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
1987,Jordi Sánchez,Pogoń Szczecin,Napastnik,46,2.0,23.0,39%,https://fantasy.ekstraklasa.org/player/1987,"[{'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 8, 'p': True}, {'r': 7, 'pts': 4, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1319,Paweł Wszołek,Legia Warszawa,Obrońca,42,2.2,19.09,37%,https://fantasy.ekstraklasa.org/player/1319,"[{'r': 4, 'pts': 15, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1880,Ilja Szkurin,GKS Katowice,Napastnik,42,2.3,18.26,20%,https://fantasy.ekstraklasa.org/player/1880,"[{'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 9, 'p': True}, {'r': 6, 'pts': 16, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2431,Rúben Vinagre,Legia Warszawa,Obrońca,39,2.0,19.5,38%,https://fantasy.ekstraklasa.org/player/2431,"[{'r': 4, 'pts': 11, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 6, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2880,Marko Bozic,Wisła Kraków,Pomocnik,39,1.9,20.53,18%,https://fantasy.ekstraklasa.org/player/2880,"[{'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 5, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 9, 'p': True}]",,,,,,,
480,Bartosz Nowak,GKS Katowice,Pomocnik,38,3.4,11.18,37%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 14, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2671,Karol Czubak,Motor Lublin,Napastnik,38,3.1,12.26,31%,https://fantasy.ekstraklasa.org/player/2671,"[{'r': 4, 'pts': 7, 'p': True}, {'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 11, 'p': True}, {'r': 8, 'pts': 2, 'p': True}]",,,,,,,
923,Rafał Augustyniak,Legia Warszawa,Obrońca,37,1.9,19.47,9%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 4, 'pts': 12, 'p': True}, {'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 0, 'p': True}, {'r': 7, 'pts': 8, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1327,Kacper Urbański,Górnik Zabrze,Pomocnik,35,2.0,17.5,38%,https://fantasy.ekstraklasa.org/player/1327,"[{'r': 6, 'pts': 2, 'p': True}, {'r': 6, 'pts': 7, 'p': True}, {'r': 7, 'pts': 9, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2719,Leandro Sanca,Piast Gliwice,Pomocnik,35,1.9,18.42,3%,https://fantasy.ekstraklasa.org/player/2719,"[{'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 8, 'p': True}, {'r': 6, 'pts': 4, 'p': True}, {'r': 7, 'pts': 9, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
166,Rafał Janicki,Górnik Zabrze,Obrońca,34,2.1,16.19,21%,https://fantasy.ekstraklasa.org/player/166,"[{'r': 6, 'pts': 13, 'p': True}, {'r': 6, 'pts': 4, 'p': True}, {'r': 7, 'pts': 6, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1168,Patryk Makuch,Raków Częstochowa,Napastnik,34,1.9,17.89,14%,https://fantasy.ekstraklasa.org/player/1168,"[{'r': 6, 'pts': 4, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 11, 'p': True}]",,,,,,,
2481,Ajdin Hasić,Cracovia,Pomocnik,34,2.3,14.78,16%,https://fantasy.ekstraklasa.org/player/2481,"[{'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 14, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
184,Rafał Wolski,Radomiak Radom,Pomocnik,33,2.2,15.0,6%,https://fantasy.ekstraklasa.org/player/184,"[{'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 3, 'p': True}, {'r': 6, 'pts': 14, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,33,2.4,13.75,21%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 4, 'pts': 8, 'p': True}, {'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 5, 'p': True}, {'r': 8, 'pts': 2, 'p': True}]",,,,,,,
2940,Mario García,Widzew Łódź,Obrońca,33,2.0,16.5,18%,https://fantasy.ekstraklasa.org/player/2940,"[{'r': 4, 'pts': 1, 'p': True}, {'r': 5, 'pts': 11, 'p': True}, {'r': 6, 'pts': 0, 'p': True}, {'r': 7, 'pts': 5, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
374,Alan Uryga,Wisła Kraków,Obrońca,32,1.7,18.82,5%,https://fantasy.ekstraklasa.org/player/374,"[{'r': 4, 'pts': 0, 'p': True}, {'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 8, 'p': True}, {'r': 8, 'pts': 6, 'p': True}]",,,,,,,
1507,Łukasz Zjawiński,Legia Warszawa,Napastnik,32,2.2,14.55,24%,https://fantasy.ekstraklasa.org/player/1507,"[{'r': 4, 'pts': 5, 'p': True}, {'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1529,Mariusz Fornalczyk,Widzew Łódź,Pomocnik,31,1.9,16.32,14%,https://fantasy.ekstraklasa.org/player/1529,"[{'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 11, 'p': True}, {'r': 7, 'pts': 3, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2659,Marcel Łubik,Wisła Kraków,Bramkarz,31,1.8,17.22,10%,https://fantasy.ekstraklasa.org/player/2659,"[{'r': 4, 'pts': 2, 'p': True}, {'r': 5, 'pts': 3, 'p': True}, {'r': 6, 'pts': 7, 'p': True}, {'r': 7, 'pts': 4, 'p': True}, {'r': 8, 'pts': 6, 'p': True}]",,,,,,,
2717,Pablo Rodríguez,Lech Poznań,Pomocnik,31,2.1,14.76,6%,https://fantasy.ekstraklasa.org/player/2717,"[{'r': 3, 'pts': 5, 'p': True}, {'r': 6, 'pts': 8, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 7, 'pts': 7, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2917,Allahyar Sayyadmanesh,Lech Poznań,Pomocnik,31,2.2,14.09,21%,https://fantasy.ekstraklasa.org/player/2917,"[{'r': 3, 'pts': 7, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 6, 'pts': 8, 'p': True}, {'r': 7, 'pts': 4, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2939,Nik Prelec,Jagiellonia Białystok,Napastnik,31,2.0,15.5,19%,https://fantasy.ekstraklasa.org/player/2939,"[{'r': 3, 'pts': 0, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 6, 'pts': 11, 'p': True}, {'r': 7, 'pts': 3, 'p': True}, {'r': 8, 'pts': 2, 'p': True}]",,,,,,,
1455,Aleks Ławniczak,Zagłębie Lubin,Obrońca,29,1.8,16.11,6%,https://fantasy.ekstraklasa.org/player/1455,"[{'r': 5, 'pts': 5, 'p': True}, {'r': 6, 'pts': 5, 'p': True}, {'r': 7, 'pts': 8, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1725,Mahir Emreli,Raków Częstochowa,Napastnik,29,2.3,12.61,17%,https://fantasy.ekstraklasa.org/player/1725,"[{'r': 6, 'pts': 6, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 1, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 3, 'p': True}]",,,,,,,
2629,Morgan Faßbender,Korona Kielce,Pomocnik,29,1.8,16.11,19%,https://fantasy.ekstraklasa.org/player/2629,"[{'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 9, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1126,Kamil Piątkowski,Legia Warszawa,Obrońca,28,2.0,14.0,12%,https://fantasy.ekstraklasa.org/player/1126,"[{'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1521,Bartosz Kapustka,Legia Warszawa,Pomocnik,28,1.9,14.74,10%,https://fantasy.ekstraklasa.org/player/1521,"[{'r': 4, 'pts': 14, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 1, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2805,Otto Hindrich,Legia Warszawa,Bramkarz,28,1.9,14.74,33%,https://fantasy.ekstraklasa.org/player/2805,"[{'r': 4, 'pts': 6, 'p': True}, {'r': 5, 'pts': 2, 'p': True}, {'r': 6, 'pts': 4, 'p': True}, {'r': 7, 'pts': 3, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1026,Mateusz Lis,Lech Poznań,Bramkarz,27,1.8,15.0,18%,https://fantasy.ekstraklasa.org/player/1026,"[{'r': 3, 'pts': 7, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 7, 'pts': 6, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
1464,Kajetan Szmyt,Jagiellonia Białystok,Pomocnik,27,2.1,12.86,11%,https://fantasy.ekstraklasa.org/player/1464,"[{'r': 3, 'pts': 2, 'p': True}, {'r': 6, 'pts': 1, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 7, 'pts': 9, 'p': True}, {'r': 8, 'pts': 2, 'p': True}]",,,,,,,
2123,Michał Gurgul,Lech Poznań,Obrońca,27,2.3,11.74,17%,https://fantasy.ekstraklasa.org/player/2123,"[{'r': 3, 'pts': 6, 'p': True}, {'r': 6, 'pts': 7, 'p': True}, {'r': 6, 'pts': 2, 'p': True}, {'r': 7, 'pts': 5, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
2733,Luis Palma,Lech Poznań,Pomocnik,27,3.5,7.71,12%,https://fantasy.ekstraklasa.org/player/2733,"[{'r': 3, 'pts': 8, 'p': True}, {'r': 6, 'pts': 3, 'p': True}, {'r': 6, 'pts': 6, 'p': True}, {'r': 7, 'pts': 3, 'p': True}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
303,Mariusz Stępiński,Korona Kielce,Napastnik,26,2.3,11.3,19%,https://fantasy.ekstraklasa.org/player/303,"[{'r': 5, 'pts': 6, 'p': True}, {'r': 6, 'pts': 7, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
860,Wiktor Długosz,Korona Kielce,Pomocnik,26,1.8,14.44,7%,https://fantasy.ekstraklasa.org/player/860,"[{'r': 5, 'pts': 1, 'p': True}, {'r': 6, 'pts': 11, 'p': True}, {'r': 7, 'pts': 2, 'p': True}, {'r': 8, 'pts': 0, 'p': False}, {'r': 8, 'pts': 0, 'p': False}]",,,,,,,
