player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form
2571,Gustaw Henriksson,Cracovia,Obrońca,21,1.8,11.67,1%,https://fantasy.ekstraklasa.org/player/2571,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': -1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2728,Juande Rivas,Piast Gliwice,Obrońca,21,1.8,11.67,1%,https://fantasy.ekstraklasa.org/player/2728,"[{'r': 24, 'pts': 0, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
587,Patryk Dziczek,Piast Gliwice,Pomocnik,20,1.9,10.53,1%,https://fantasy.ekstraklasa.org/player/587,"[{'r': 24, 'pts': 4, 'p': True}, {'r': 25, 'pts': 3, 'p': True}, {'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2688,Dion Gallapeni,Wisła Płock,Obrońca,20,1.7,11.76,0%,https://fantasy.ekstraklasa.org/player/2688,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 11, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}]"
1225,Jan Grzesik,Radomiak Radom,Obrońca,19,2.3,8.26,11%,https://fantasy.ekstraklasa.org/player/1225,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1360,Kacper Chodyna,Legia Warszawa,Pomocnik,19,1.7,11.18,1%,https://fantasy.ekstraklasa.org/player/1360,"[{'r': 24, 'pts': 4, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
923,Rafał Augustyniak,Legia Warszawa,Pomocnik,18,1.7,10.59,0%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 4, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1712,Joel Pereira,Lech Poznań,Obrońca,18,2.0,9.0,8%,https://fantasy.ekstraklasa.org/player/1712,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1747,Igor Drapiński,Piast Gliwice,Obrońca,18,1.8,10.0,1%,https://fantasy.ekstraklasa.org/player/1747,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 4, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
830,Serafin Szota,Arka Gdynia,Obrońca,17,1.6,10.62,1%,https://fantasy.ekstraklasa.org/player/830,"[{'r': 24, 'pts': 5, 'p': True}, {'r': 25, 'pts': 5, 'p': True}, {'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
1569,Oskar Wójcik,Cracovia,Obrońca,17,1.7,10.0,4%,https://fantasy.ekstraklasa.org/player/1569,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
1931,Steve Kapuadi,Widzew Łódź,Obrońca,17,1.8,9.44,2%,https://fantasy.ekstraklasa.org/player/1931,"[{'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 5, 'p': True}, {'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2763,Brahim Traoré,Cracovia,Obrońca,17,1.8,9.44,1%,https://fantasy.ekstraklasa.org/player/2763,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
813,Mateusz Żyro,Widzew Łódź,Obrońca,16,1.7,9.41,2%,https://fantasy.ekstraklasa.org/player/813,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 5, 'p': True}, {'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1430,Damian Hilbrycht,Bruk-Bet Termalica Nieciecza,Obrońca,16,1.7,9.41,0%,https://fantasy.ekstraklasa.org/player/1430,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': -1, 'p': True}, {'r': 27, 'pts': 8, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2189,Adrián Diéguez,Radomiak Radom,Obrońca,16,1.7,9.41,1%,https://fantasy.ekstraklasa.org/player/2189,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2768,Antonio Čolak,Legia Warszawa,Napastnik,16,1.8,8.89,1%,https://fantasy.ekstraklasa.org/player/2768,"[{'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2016,Jakub Lewicki,Piast Gliwice,Obrońca,14,1.7,8.24,1%,https://fantasy.ekstraklasa.org/player/2016,"[{'r': 24, 'pts': 0, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': -3, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2502,Andréas Katsantónis,Piast Gliwice,Napastnik,14,1.7,8.24,0%,https://fantasy.ekstraklasa.org/player/2502,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2752,Slobodan Rubežić,Korona Kielce,Obrońca,14,1.5,9.33,1%,https://fantasy.ekstraklasa.org/player/2752,"[{'r': 24, 'pts': 5, 'p': True}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
256,Jakub Czerwiński,Piast Gliwice,Obrońca,12,1.7,7.06,1%,https://fantasy.ekstraklasa.org/player/256,"[{'r': 24, 'pts': 0, 'p': True}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
1319,Paweł Wszołek,Legia Warszawa,Obrońca,9,1.9,4.74,6%,https://fantasy.ekstraklasa.org/player/1319,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2443,Samuel Kozlovský,Widzew Łódź,Obrońca,8,1.7,4.71,0%,https://fantasy.ekstraklasa.org/player/2443,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 4, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1001,Karol Szymański,Piast Gliwice,Bramkarz,7,1.5,4.67,2%,https://fantasy.ekstraklasa.org/player/1001,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 4, 'p': True}, {'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2430,Jean-Pierre Nsame,Legia Warszawa,Napastnik,7,2.0,3.5,1%,https://fantasy.ekstraklasa.org/player/2430,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2588,Mauro Perković,Cracovia,Obrońca,6,1.9,3.16,1%,https://fantasy.ekstraklasa.org/player/2588,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2727,Natan Ława,Pogoń Szczecin,Pomocnik,5,0.7,7.14,2%,https://fantasy.ekstraklasa.org/player/2727,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2789,Jakub Kokosiński,GKS Katowice,Napastnik,5,0.7,7.14,3%,https://fantasy.ekstraklasa.org/player/2789,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2560,Konrad Ciszek,Korona Kielce,Obrońca,3,0.7,4.29,27%,https://fantasy.ekstraklasa.org/player/2560,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2690,Ricardo Visus,Widzew Łódź,Obrońca,3,1.7,1.76,0%,https://fantasy.ekstraklasa.org/player/2690,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2283,Kamil Glik,Cracovia,Obrońca,2,1.5,1.33,0%,https://fantasy.ekstraklasa.org/player/2283,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2530,Franciszek Lewandowski,Motor Lublin,Pomocnik,2,0.7,2.86,4%,https://fantasy.ekstraklasa.org/player/2530,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2827,Jakub Ligocki,Zagłębie Lubin,Pomocnik,2,0.7,2.86,3%,https://fantasy.ekstraklasa.org/player/2827,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
