player_id,name,captain_count,captain_pct
480,Nowak,232,23.2%
2205,Pululu,212,21.2%
303,Stępiński,142,14.2%
765,Imaz,104,10.4%
860,Długosz,65,6.5%
2234,Gholizadeh,56,5.6%
2411,Bobček,46,4.6%
2671,Czubak,46,4.6%
1475,Ishak,25,2.5%
2476,Braut Brunes,20,2.0%
1539,López,18,1.8%
2110,Mena,13,1.3%
951,Jędrych,4,0.4%
827,Grzybek,2,0.2%
2424,Wolski,2,0.2%
1909,Adamski,2,0.2%
1360,Chodyna,1,0.1%
2552,Sotiríou,1,0.1%
2668,Svetlin,1,0.1%
2775,Ronaldo,1,0.1%
2708,Rajović,1,0.1%
2733,Palma,1,0.1%
1540,Wojtuszek,1,0.1%
2562,Mazurek,1,0.1%
2637,Kamiński,1,0.1%
